object_id,parent_id,name,object_type,quantity,system_id,nominal_dimension_or_description,evidence_state,source_ids,source_locator,status,notes
RCS-PL-V012B,ADS-S2-B,Stage 2B isolation MOV,motor_operated_valve,1,SYS-ADS,"8 in; normally closed; DC motor operated",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 Tier 1 / Vogtle ADS ITAAC evidence,ACTIVE,Upstream series isolation valve for V002B
RCS-PL-V002B,ADS-S2-B,Stage 2B depressurization MOV,motor_operated_valve,1,SYS-ADS,"8 in; normally closed; DC motor operated",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 Tier 1 / Vogtle ADS ITAAC evidence,ACTIVE,Downstream of V012B
ADS-S3-A,ADS-ASSEMBLY,ADS Stage 3 flow path A,pipe_run,1,SYS-ADS,8-in valve basis,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
RCS-PL-V013A,ADS-S3-A,Stage 3A isolation MOV,motor_operated_valve,1,SYS-ADS,"8 in; normally closed; DC motor operated",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 Tier 1 / Vogtle ADS ITAAC evidence,ACTIVE,Upstream series isolation valve for V003A
RCS-PL-V003A,ADS-S3-A,Stage 3A depressurization MOV,motor_operated_valve,1,SYS-ADS,"8 in; normally closed; DC motor operated",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 Tier 1 / Vogtle ADS ITAAC evidence,ACTIVE,Downstream of V013A
ADS-S3-B,ADS-ASSEMBLY,ADS Stage 3 flow path B,pipe_run,1,SYS-ADS,8-in valve basis,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
RCS-PL-V013B,ADS-S3-B,Stage 3B isolation MOV,motor_operated_valve,1,SYS-ADS,"8 in; normally closed; DC motor operated",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 Tier 1 / Vogtle ADS ITAAC evidence,ACTIVE,Upstream series isolation valve for V003B
RCS-PL-V003B,ADS-S3-B,Stage 3B depressurization MOV,motor_operated_valve,1,SYS-ADS,"8 in; normally closed; DC motor operated",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 Tier 1 / Vogtle ADS ITAAC evidence,ACTIVE,Downstream of V013B
ADS-COMMON-A,ADS-ASSEMBLY,ADS Stages 1-3 common discharge header A,discharge_pipe_run,1,SYS-ADS,Receives Stage 1A 2A 3A and discharges to sparger A,VERIFIED_PUBLIC,SRC-0007;SRC-0401,AP1000 Technical Specification ADS description / NUREG-1793 Ch.6,ACTIVE,Branch tees size material vacuum-breaker connection supports drains and vents require P&ID/isometric closure
ADS-COMMON-B,ADS-ASSEMBLY,ADS Stages 1-3 common discharge header B,discharge_pipe_run,1,SYS-ADS,Receives Stage 1B 2B 3B and discharges to sparger B,VERIFIED_PUBLIC,SRC-0007;SRC-0401,AP1000 Technical Specification ADS description / NUREG-1793 Ch.6,ACTIVE,
RCS-PL-V010A,ADS-COMMON-A,ADS discharge header A vacuum relief valve,vacuum_relief_valve,1,SYS-ADS,Admits containment atmosphere to limit post-condensation vacuum/backflow,VERIFIED_PUBLIC,SRC-0002;SRC-0011;SRC-0409,DCD Rev.19 / NUREG-1793 Ch.5 / Vogtle as-built equipment listing,ACTIVE,Exact size setpoint body/trim and line connection unresolved
RCS-PL-V010B,ADS-COMMON-B,ADS discharge header B vacuum relief valve,vacuum_relief_valve,1,SYS-ADS,Admits containment atmosphere to limit post-condensation vacuum/backflow,VERIFIED_PUBLIC,SRC-0002;SRC-0011;SRC-0409,DCD Rev.19 / NUREG-1793 Ch.5 / Vogtle as-built equipment listing,ACTIVE,
ADS-SPARGER-A-BND,ADS-ASSEMBLY,PXS ADS sparger A boundary,external_process_interface,1,SYS-ADS,Boundary to PXS-SPARGER-A,VERIFIED_PUBLIC,SRC-0404,NRC ADS sparger ITAAC inspection ML17044A539,BOUNDARY,Cross-system compiler will later join to PXS canonical port
ADS-SPARGER-B-BND,ADS-ASSEMBLY,PXS ADS sparger B boundary,external_process_interface,1,SYS-ADS,Boundary to PXS-SPARGER-B,VERIFIED_PUBLIC,SRC-0404,NRC ADS sparger ITAAC inspection ML17044A539,BOUNDARY,
ADS-CONT-ATM-BND,ADS-ASSEMBLY,Containment atmosphere ADS boundary,external_process_interface,1,SYS-ADS,Stage 4 discharge sink and Stage 1-3 vacuum-relief source,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.1.3.7 / Ch.6,BOUNDARY,Physical room/compartment overlay tracked separately
ADS-S4-A,ADS-ASSEMBLY,ADS Stage 4 flow path A,pipe_run,1,SYS-ADS,"Normally open MOV followed by normally closed 14-in squib valve; discharges to containment",VERIFIED_PUBLIC,SRC-0002;SRC-0007;SRC-0408,DCD Rev.19 / AP1000 Tech Specs / Vogtle Stage-4 ITAAC,ACTIVE,Exact source hot-leg assignment retained unresolved until current P&ID confirms
ADS-S4-SRC-A,ADS-S4-A,RCS hot-leg Stage 4 A source boundary,external_process_interface,1,SYS-ADS,Boundary to RCS hot-leg branch,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.7,BOUNDARY,Exact hot-leg identity/nozzle/tee/weld unresolved
RCS-PL-V014A,ADS-S4-A,Stage 4A normally-open isolation MOV,motor_operated_valve,1,SYS-ADS,Normally open,VERIFIED_PUBLIC,SRC-0002;SRC-0409,DCD Rev.19 / Vogtle as-built equipment listing,ACTIVE,Upstream of V004A in canonical path
RCS-PL-V004A,ADS-S4-A,Stage 4A squib valve,squib_valve,1,SYS-ADS,14 in; normally closed until irreversible Stage-4 actuation,VERIFIED_PUBLIC,SRC-0002;SRC-0408;SRC-0410,DCD Rev.19 / Vogtle Stage-4 ITAAC / ADS completion evidence,ACTIVE,
ADS-S4-DISCH-A,ADS-S4-A,Stage 4A containment discharge line,discharge_pipe_run,1,SYS-ADS,From V004A outlet to containment atmosphere,VERIFIED_PUBLIC,SRC-0408,Vogtle Stage-4 ITAAC closure record,ACTIVE,Line/spool/support geometry and final outlet arrangement unresolved
ADS-S4-B,ADS-ASSEMBLY,ADS Stage 4 flow path B,pipe_run,1,SYS-ADS,"Normally open MOV followed by normally closed 14-in squib valve; discharges to containment",VERIFIED_PUBLIC,SRC-0002;SRC-0007;SRC-0408,DCD Rev.19 / AP1000 Tech Specs / Vogtle Stage-4 ITAAC,ACTIVE,
ADS-S4-SRC-B,ADS-S4-B,RCS hot-leg Stage 4 B source boundary,external_process_interface,1,SYS-ADS,Boundary to RCS hot-leg branch,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.7,BOUNDARY,Exact hot-leg identity/nozzle/tee/weld unresolved
RCS-PL-V014B,ADS-S4-B,Stage 4B normally-open isolation MOV,motor_operated_valve,1,SYS-ADS,Normally open,VERIFIED_PUBLIC,SRC-0002;SRC-0409,DCD Rev.19 / Vogtle as-built equipment listing,ACTIVE,
RCS-PL-V004B,ADS-S4-B,Stage 4B squib valve,squib_valve,1,SYS-ADS,14 in; normally closed until irreversible Stage-4 actuation,VERIFIED_PUBLIC,SRC-0002;SRC-0408;SRC-0410,DCD Rev.19 / Vogtle Stage-4 ITAAC / ADS completion evidence,ACTIVE,
ADS-S4-DISCH-B,ADS-S4-B,Stage 4B containment discharge line,discharge_pipe_run,1,SYS-ADS,From V004B outlet to containment atmosphere,VERIFIED_PUBLIC,SRC-0408,Vogtle Stage-4 ITAAC closure record,ACTIVE,
ADS-S4-C,ADS-ASSEMBLY,ADS Stage 4 flow path C,pipe_run,1,SYS-ADS,"Normally open MOV followed by normally closed 14-in squib valve; discharges to containment",VERIFIED_PUBLIC,SRC-0002;SRC-0007;SRC-0408,DCD Rev.19 / AP1000 Tech Specs / Vogtle Stage-4 ITAAC,ACTIVE,
ADS-S4-SRC-C,ADS-S4-C,RCS hot-leg Stage 4 C source boundary,external_process_interface,1,SYS-ADS,Boundary to RCS hot-leg branch,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.7,BOUNDARY,Exact hot-leg identity/nozzle/tee/weld unresolved
RCS-PL-V014C,ADS-S4-C,Stage 4C normally-open isolation MOV,motor_operated_valve,1,SYS-ADS,Normally open,VERIFIED_PUBLIC,SRC-0002;SRC-0409,DCD Rev.19 / Vogtle as-built equipment listing,ACTIVE,
RCS-PL-V004C,ADS-S4-C,Stage 4C squib valve,squib_valve,1,SYS-ADS,14 in; normally closed until irreversible Stage-4 actuation,VERIFIED_PUBLIC,SRC-0002;SRC-0408;SRC-0410,DCD Rev.19 / Vogtle Stage-4 ITAAC / ADS completion evidence,ACTIVE,
ADS-S4-DISCH-C,ADS-S4-C,Stage 4C containment discharge line,discharge_pipe_run,1,SYS-ADS,From V004C outlet to containment atmosphere,VERIFIED_PUBLIC,SRC-0408,Vogtle Stage-4 ITAAC closure record,ACTIVE,
ADS-S4-D,ADS-ASSEMBLY,ADS Stage 4 flow path D,pipe_run,1,SYS-ADS,"Normally open MOV followed by normally closed 14-in squib valve; discharges to containment",VERIFIED_PUBLIC,SRC-0002;SRC-0007;SRC-0408,DCD Rev.19 / AP1000 Tech Specs / Vogtle Stage-4 ITAAC,ACTIVE,
ADS-S4-SRC-D,ADS-S4-D,RCS hot-leg Stage 4 D source boundary,external_process_interface,1,SYS-ADS,Boundary to RCS hot-leg branch,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.7,BOUNDARY,Exact hot-leg identity/nozzle/tee/weld unresolved
RCS-PL-V014D,ADS-S4-D,Stage 4D normally-open isolation MOV,motor_operated_valve,1,SYS-ADS,Normally open,VERIFIED_PUBLIC,SRC-0002;SRC-0409,DCD Rev.19 / Vogtle as-built equipment listing,ACTIVE,
RCS-PL-V004D,ADS-S4-D,Stage 4D squib valve,squib_valve,1,SYS-ADS,14 in; normally closed until irreversible Stage-4 actuation,VERIFIED_PUBLIC,SRC-0002;SRC-0408;SRC-0410,DCD Rev.19 / Vogtle Stage-4 ITAAC / ADS completion evidence,ACTIVE,
ADS-S4-DISCH-D,ADS-S4-D,Stage 4D containment discharge line,discharge_pipe_run,1,SYS-ADS,From V004D outlet to containment atmosphere,VERIFIED_PUBLIC,SRC-0408,Vogtle Stage-4 ITAAC closure record,ACTIVE,
