port_id,object_id,port_name,port_class,service_or_medium,nominal_size,direction,evidence_state,source_ids,source_locator,status,notes
V013A-IN,RCS-PL-V013A,V013A inlet,process_inlet,reactor coolant steam,8 in,in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V013A-OUT,RCS-PL-V013A,V013A outlet,process_outlet,reactor coolant steam,8 in,out,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V003A-IN,RCS-PL-V003A,V003A inlet,process_inlet,reactor coolant steam,8 in,in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V003A-OUT,RCS-PL-V003A,V003A outlet,process_outlet,reactor coolant steam,8 in,out,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V013B-IN,RCS-PL-V013B,V013B inlet,process_inlet,reactor coolant steam,8 in,in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V013B-OUT,RCS-PL-V013B,V013B outlet,process_outlet,reactor coolant steam,8 in,out,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V003B-IN,RCS-PL-V003B,V003B inlet,process_inlet,reactor coolant steam,8 in,in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V003B-OUT,RCS-PL-V003B,V003B outlet,process_outlet,reactor coolant steam,8 in,out,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
ADS-COMMON-A-S1,ADS-COMMON-A,Stage 1A inlet,process_inlet,reactor coolant steam,4 in,in,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
ADS-COMMON-A-S2,ADS-COMMON-A,Stage 2A inlet,process_inlet,reactor coolant steam,8 in,in,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
ADS-COMMON-A-S3,ADS-COMMON-A,Stage 3A inlet,process_inlet,reactor coolant steam,8 in,in,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
ADS-COMMON-A-VAC,ADS-COMMON-A,Vacuum relief inlet,process_inlet,containment atmosphere,,in,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 ADS discharge vacuum relief discussion,ACTIVE,
ADS-COMMON-A-OUT,ADS-COMMON-A,Sparger A discharge outlet,process_outlet,reactor coolant steam,,out,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 ADS discharge description,ACTIVE,
ADS-COMMON-B-S1,ADS-COMMON-B,Stage 1B inlet,process_inlet,reactor coolant steam,4 in,in,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
ADS-COMMON-B-S2,ADS-COMMON-B,Stage 2B inlet,process_inlet,reactor coolant steam,8 in,in,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
ADS-COMMON-B-S3,ADS-COMMON-B,Stage 3B inlet,process_inlet,reactor coolant steam,8 in,in,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
ADS-COMMON-B-VAC,ADS-COMMON-B,Vacuum relief inlet,process_inlet,containment atmosphere,,in,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 ADS discharge vacuum relief discussion,ACTIVE,
ADS-COMMON-B-OUT,ADS-COMMON-B,Sparger B discharge outlet,process_outlet,reactor coolant steam,,out,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 ADS discharge description,ACTIVE,
V010A-IN,RCS-PL-V010A,V010A atmosphere inlet,process_inlet,containment atmosphere,,in,VERIFIED_PUBLIC,SRC-0011;SRC-0409,NUREG-1793 Ch.5 / Vogtle equipment listing,ACTIVE,
V010A-OUT,RCS-PL-V010A,V010A header outlet,process_outlet,containment atmosphere,,out,VERIFIED_PUBLIC,SRC-0011;SRC-0409,NUREG-1793 Ch.5 / Vogtle equipment listing,ACTIVE,
V010B-IN,RCS-PL-V010B,V010B atmosphere inlet,process_inlet,containment atmosphere,,in,VERIFIED_PUBLIC,SRC-0011;SRC-0409,NUREG-1793 Ch.5 / Vogtle equipment listing,ACTIVE,
V010B-OUT,RCS-PL-V010B,V010B header outlet,process_outlet,containment atmosphere,,out,VERIFIED_PUBLIC,SRC-0011;SRC-0409,NUREG-1793 Ch.5 / Vogtle equipment listing,ACTIVE,
ADS-SPARGER-A-IN,ADS-SPARGER-A-BND,Sparger A boundary inlet,process_inlet,reactor coolant steam,,in,VERIFIED_PUBLIC,SRC-0404,NRC ADS sparger ITAAC inspection ML17044A539,ACTIVE,
ADS-SPARGER-B-IN,ADS-SPARGER-B-BND,Sparger B boundary inlet,process_inlet,reactor coolant steam,,in,VERIFIED_PUBLIC,SRC-0404,NRC ADS sparger ITAAC inspection ML17044A539,ACTIVE,
ADS-ATM-VAC-A,ADS-CONT-ATM-BND,Containment atmosphere source to V010A,process_outlet,containment atmosphere,,out,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 ADS discharge vacuum relief discussion,ACTIVE,
ADS-ATM-VAC-B,ADS-CONT-ATM-BND,Containment atmosphere source to V010B,process_outlet,containment atmosphere,,out,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 ADS discharge vacuum relief discussion,ACTIVE,
ADS-ATM-S4A,ADS-CONT-ATM-BND,Stage 4A containment discharge inlet,process_inlet,reactor coolant steam/two-phase,,in,VERIFIED_PUBLIC,SRC-0011;SRC-0408,NUREG-1793 Ch.5 / Vogtle Stage-4 ITAAC,ACTIVE,
ADS-ATM-S4B,ADS-CONT-ATM-BND,Stage 4B containment discharge inlet,process_inlet,reactor coolant steam/two-phase,,in,VERIFIED_PUBLIC,SRC-0011;SRC-0408,NUREG-1793 Ch.5 / Vogtle Stage-4 ITAAC,ACTIVE,
ADS-ATM-S4C,ADS-CONT-ATM-BND,Stage 4C containment discharge inlet,process_inlet,reactor coolant steam/two-phase,,in,VERIFIED_PUBLIC,SRC-0011;SRC-0408,NUREG-1793 Ch.5 / Vogtle Stage-4 ITAAC,ACTIVE,
ADS-ATM-S4D,ADS-CONT-ATM-BND,Stage 4D containment discharge inlet,process_inlet,reactor coolant steam/two-phase,,in,VERIFIED_PUBLIC,SRC-0011;SRC-0408,NUREG-1793 Ch.5 / Vogtle Stage-4 ITAAC,ACTIVE,
ADS-S4-SRC-A-OUT,ADS-S4-SRC-A,Stage 4A hot-leg source outlet,process_outlet,reactor coolant/two-phase,,out,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.7,ACTIVE,
V014A-IN,RCS-PL-V014A,V014A inlet,process_inlet,reactor coolant/two-phase,,in,VERIFIED_PUBLIC,SRC-0002;SRC-0409,DCD Rev.19 / Vogtle equipment listing,ACTIVE,
V014A-OUT,RCS-PL-V014A,V014A outlet,process_outlet,reactor coolant/two-phase,,out,VERIFIED_PUBLIC,SRC-0002;SRC-0409,DCD Rev.19 / Vogtle equipment listing,ACTIVE,
V004A-IN,RCS-PL-V004A,V004A inlet,process_inlet,reactor coolant/two-phase,14 in,in,VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 / Vogtle ADS completion evidence,ACTIVE,
V004A-OUT,RCS-PL-V004A,V004A outlet,process_outlet,reactor coolant/two-phase,14 in,out,VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 / Vogtle ADS completion evidence,ACTIVE,
ADS-S4-DISCH-A-IN,ADS-S4-DISCH-A,Stage 4A discharge-line inlet,pipe_end,reactor coolant/two-phase,,in,VERIFIED_PUBLIC,SRC-0408,Vogtle Stage-4 ITAAC,ACTIVE,
ADS-S4-DISCH-A-OUT,ADS-S4-DISCH-A,Stage 4A discharge-line outlet,pipe_end,reactor coolant steam/two-phase,,out,VERIFIED_PUBLIC,SRC-0408,Vogtle Stage-4 ITAAC,ACTIVE,
ADS-S4-SRC-B-OUT,ADS-S4-SRC-B,Stage 4B hot-leg source outlet,process_outlet,reactor coolant/two-phase,,out,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.7,ACTIVE,
V014B-IN,RCS-PL-V014B,V014B inlet,process_inlet,reactor coolant/two-phase,,in,VERIFIED_PUBLIC,SRC-0002;SRC-0409,DCD Rev.19 / Vogtle equipment listing,ACTIVE,
V014B-OUT,RCS-PL-V014B,V014B outlet,process_outlet,reactor coolant/two-phase,,out,VERIFIED_PUBLIC,SRC-0002;SRC-0409,DCD Rev.19 / Vogtle equipment listing,ACTIVE,
V004B-IN,RCS-PL-V004B,V004B inlet,process_inlet,reactor coolant/two-phase,14 in,in,VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 / Vogtle ADS completion evidence,ACTIVE,
V004B-OUT,RCS-PL-V004B,V004B outlet,process_outlet,reactor coolant/two-phase,14 in,out,VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 / Vogtle ADS completion evidence,ACTIVE,
ADS-S4-DISCH-B-IN,ADS-S4-DISCH-B,Stage 4B discharge-line inlet,pipe_end,reactor coolant/two-phase,,in,VERIFIED_PUBLIC,SRC-0408,Vogtle Stage-4 ITAAC,ACTIVE,
ADS-S4-DISCH-B-OUT,ADS-S4-DISCH-B,Stage 4B discharge-line outlet,pipe_end,reactor coolant steam/two-phase,,out,VERIFIED_PUBLIC,SRC-0408,Vogtle Stage-4 ITAAC,ACTIVE,
ADS-S4-SRC-C-OUT,ADS-S4-SRC-C,Stage 4C hot-leg source outlet,process_outlet,reactor coolant/two-phase,,out,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.7,ACTIVE,
V014C-IN,RCS-PL-V014C,V014C inlet,process_inlet,reactor coolant/two-phase,,in,VERIFIED_PUBLIC,SRC-0002;SRC-0409,DCD Rev.19 / Vogtle equipment listing,ACTIVE,
V014C-OUT,RCS-PL-V014C,V014C outlet,process_outlet,reactor coolant/two-phase,,out,VERIFIED_PUBLIC,SRC-0002;SRC-0409,DCD Rev.19 / Vogtle equipment listing,ACTIVE,
V004C-IN,RCS-PL-V004C,V004C inlet,process_inlet,reactor coolant/two-phase,14 in,in,VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 / Vogtle ADS completion evidence,ACTIVE,
V004C-OUT,RCS-PL-V004C,V004C outlet,process_outlet,reactor coolant/two-phase,14 in,out,VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 / Vogtle ADS completion evidence,ACTIVE,
ADS-S4-DISCH-C-IN,ADS-S4-DISCH-C,Stage 4C discharge-line inlet,pipe_end,reactor coolant/two-phase,,in,VERIFIED_PUBLIC,SRC-0408,Vogtle Stage-4 ITAAC,ACTIVE,
ADS-S4-DISCH-C-OUT,ADS-S4-DISCH-C,Stage 4C discharge-line outlet,pipe_end,reactor coolant steam/two-phase,,out,VERIFIED_PUBLIC,SRC-0408,Vogtle Stage-4 ITAAC,ACTIVE,
ADS-S4-SRC-D-OUT,ADS-S4-SRC-D,Stage 4D hot-leg source outlet,process_outlet,reactor coolant/two-phase,,out,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.7,ACTIVE,
V014D-IN,RCS-PL-V014D,V014D inlet,process_inlet,reactor coolant/two-phase,,in,VERIFIED_PUBLIC,SRC-0002;SRC-0409,DCD Rev.19 / Vogtle equipment listing,ACTIVE,
V014D-OUT,RCS-PL-V014D,V014D outlet,process_outlet,reactor coolant/two-phase,,out,VERIFIED_PUBLIC,SRC-0002;SRC-0409,DCD Rev.19 / Vogtle equipment listing,ACTIVE,
V004D-IN,RCS-PL-V004D,V004D inlet,process_inlet,reactor coolant/two-phase,14 in,in,VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 / Vogtle ADS completion evidence,ACTIVE,
V004D-OUT,RCS-PL-V004D,V004D outlet,process_outlet,reactor coolant/two-phase,14 in,out,VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 / Vogtle ADS completion evidence,ACTIVE,
ADS-S4-DISCH-D-IN,ADS-S4-DISCH-D,Stage 4D discharge-line inlet,pipe_end,reactor coolant/two-phase,,in,VERIFIED_PUBLIC,SRC-0408,Vogtle Stage-4 ITAAC,ACTIVE,
ADS-S4-DISCH-D-OUT,ADS-S4-DISCH-D,Stage 4D discharge-line outlet,pipe_end,reactor coolant steam/two-phase,,out,VERIFIED_PUBLIC,SRC-0408,Vogtle Stage-4 ITAAC,ACTIVE,
