item_id,parent_scope,component_or_feature,object_type,quantity,nominal_data,load_or_interface_path,configuration,evidence_state,source_ids,source_locator,status,notes
IHP-STR-011,IHP-STR-001,CRDM cooling duct/support interface,cooling_duct_support,1,UNRESOLVED,Routes forced air around CRDM coils while structural fan support is adjacent to IHP,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS,ACTIVE,Current fan equipment is NOT supported on the IHP; duct joints/flexible connections/seals need resolution
IHP-STR-012,IHP-STR-001,Adjacent CRDM cooling-fan support structure,external_support_boundary,1,UNRESOLVED,Supports current CRDM cooling fans adjacent to IHP and interfaces to IHP ducting,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS,BOUNDARY,Model under containment/HVAC-support ownership while maintaining explicit IHP duct interface
IHP-STR-013,IHP-STR-001,Stud-hoist rail system,maintenance_rail,1,UNRESOLVED,Supports individual vessel-head stud hoist/tensioner handling during refueling,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS,ACTIVE,Resolve rail sections trolleys stops brackets anchors and tool attachment interfaces
IHP-STR-014,IHP-STR-001,Shielded in-core guide-tube covers,radiation_shield_cover_set,UNRESOLVED,UNRESOLVED,Reduces personnel dose during refueling/maintenance around in-core guide-tube interfaces,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS,ACTIVE,Material thickness segmentation hinges/latches/handles unresolved
IHP-STR-015,IHP-STR-001,Head insulation package,removable_insulation_system,1,UNRESOLVED,Thermal insulation carried with/around integrated head arrangement,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0301;SRC-0012,NUREG-1793 Ch.12 IHP description / Ch.3 Sec.3.9.7,ACTIVE,Resolve panel shapes fasteners gaps around penetrations and bare-metal inspection access
IHP-STR-016,IHP-STR-001,Bare-metal/CRDM/ICI inspection access,maintenance_access_system,UNRESOLVED,UNRESOLVED,Provides access without dismantling entire IHP,AP1000-DCD-R19-GENERIC,CORROBORATED_PUBLIC,SRC-0301;SRC-0302,NRC IHP descriptions and configuration-change record,ACTIVE,Exact door/panel count and latching hardware remain unresolved
IHP-ABS-001,IHP-STR-001,IHP-mounted CRDM cooling fans,absent_design_feature,0,N/A,Current configuration moved fan support to adjacent structure,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS,CONFIRMED_ABSENT,Older AP1000 figures/documents showing IHP-mounted fans are configuration history only
IHP-ABS-002,IHP-STR-001,Legacy cable bridge,absent_design_feature,0,N/A,Current design uses revised cable management/support arrangement,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS,CONFIRMED_ABSENT,Do not model cable bridge as Revision-19 installed hardware
IHP-LOAD-001,IHP-STR-002,CRDM top deflection limit,functional_design_constraint,1,VALUE_UNRESOLVED,Limits CRDM rod-travel-housing bending/deflection to preserve control-rod insertion,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0012,NUREG-1793 Ch.3 Secs.3.9.4 and 3.9.7,ACTIVE,Exact numerical allowable deflection is not asserted until sourced
IHP-LOAD-002,IHP-STR-001,Service-level structural qualification,design_constraint,1,"ASME Service Levels A/B/C/D considered for safety-related support functions",IHP supports remain within applicable stress/deformation limits under design-basis combinations,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0012,NUREG-1793 Ch.3 Sec.3.9.7,ACTIVE,
