system_id,system_code,system_name,functional_group,configuration,evidence_state,source_ids,source_locator,status,notes
SYS-RMS,RMS,Radiation Monitoring System,Instrumentation/Radiation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-RTS,RTS,Reactor Trip System,Instrumentation/Protection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-CAS,CAS,Compressed Air System,Plant Service,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-CCS,CCS,Component Cooling Water System,Plant Service,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-CWS,CWS,Circulating Water System,Plant Service/Heat Rejection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-FHS,FHS,Fuel Handling System,Fuel Handling,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-FPS,FPS,Fire Protection System,Plant Service,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-SFS,SFS,Spent Fuel Pool Cooling System,Fuel Handling/Heat Removal,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-VES,VES,Main Control Room HVAC,HVAC,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-VFS,VFS,Containment Air Filtration System,HVAC/Containment,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-WGS,WGS,Gaseous Radwaste System,Radioactive Waste,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-WLS,WLS,Liquid Radwaste System,Radioactive Waste,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
