item_id,parent_scope,component_or_feature,object_type,quantity,nominal_data,interface_or_relationship,configuration,evidence_state,source_ids,source_locator,status,notes
CMT-DIS-002,CMT-DIS-001,CMT series in-line/nozzle check valve set,nozzle_check_valve_set,4,"2 in series per CMT downstream of recombined AOV branches; AP1000 8-in Class-1707 nozzle-check family in Vogtle evidence",Prevents DVI/RCS backflow into CMT,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0404;SRC-0417;SRC-0424,ML17044A539 Sec.1A24 / ML17132A345 / DCP 864 inspection ML112440588,ACTIVE,Early NUREG-1793 initial text called these tilt-disc checks; DCP 864 changed the design to in-line/nozzle checks and NRC verified incorporation into the AP1000 DCD; Unit-3 and Unit-4 evidence confirms nozzle-check installation
CMT-DIS-003,CMT-DIS-002,CMT flow-tuning orifice,restriction_orifice,2,"R01A/R01B functional-requirement family; field-adjustable/finalized during preoperational testing",Tunes injection-line hydraulic resistance and required CMT flow,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401;SRC-0424,NUREG-1793 Ch.6 Sec.6.3.2.1 / DCP 864 related AP1000 design-document inspection,ACTIVE,Final bore/orifice geometry is plant-specific evidence target
CMT-DIS-004,CMT-DIS-002,CMT outlet-check flow-test manual valve set,manual_test_valve_set,6,"1-in safety-related manual valves; six total added by DCP 864",Facilitates flow testing of CMT outlet/nozzle check valves,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0424,ML112440588 DCP 864 design-change inspection,ACTIVE,Exact individual tags allocation among CMT-A/B check-valve test connections and line routing remain unresolved; must be located on current P&ID/isometrics before canonical graph promotion
ACC-PB-001,PXS-ACC-A/B,Accumulator pressure vessel,pressure_vessel,2,"2000 ft3 each; spherical tank; ~2600 ppm borated water; nitrogen pressurized 651-783 psia",Stored-energy safety injection source,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,Exact sphere diameter wall thickness material/nozzle clocking require MT02 records
ACC-PB-002,ACC-PB-001,Spherical pressure-boundary shell,spherical_vessel_shell,2,UNRESOLVED,Contains nitrogen gas and borated water inventory,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,Weld seam/segment map unresolved
ACC-PB-003,ACC-PB-001,Nitrogen gas space,gas_inventory,2,"precharge operating range 651-783 psia",Provides stored energy for injection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,Charging connection/regulator/source bottle or header path unresolved
ACC-PB-004,ACC-PB-001,Borated-water inventory,water_inventory,2,"about 2600 ppm boron",Safety injection inventory,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,Minimum/normal usable volume split to extract from R19 Table 6.3-2
ACC-PB-005,ACC-PB-001,Injection nozzle,pressure_vessel_nozzle,2,UNRESOLVED,Connects each accumulator to one DVI line,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,Nozzle diameter/material/reinforcement unresolved
ACC-INJ-001,ACC-PB-005,Accumulator injection MOV,motor_operated_valve,2,UNRESOLVED,Normally open with power removed and locked out to prevent inadvertent isolation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,Unit-4 overlay identifies V027A/B; Unit-3/current generic confirmation still being reconciled
ACC-INJ-002,ACC-INJ-001,Accumulator flow-tuning orifice,restriction_orifice,2,UNRESOLVED,Field adjustment of injection-line resistance,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,
ACC-INJ-003,ACC-INJ-002,Accumulator swing-disc check valve set,swing_disc_check_valve_set,4,"2 in series per accumulator; 8-in Class-1530 swing-check family in Vogtle evidence",Normally isolates accumulator from higher-pressure RCS and opens when RCS falls below accumulator pressure,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401;SRC-0404;SRC-0417,NUREG-1793 Ch.6 Sec.6.3.2.2 / ML17044A539 Sec.1A24 / ML17132A345,ACTIVE,Certified tags V028A/B and V029A/B in licensing/as-built records
ACC-GAS-001,ACC-PB-001,Accumulator gas relief valve,relief_valve,2,UNRESOLVED,Protects accumulator from overpressurization,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401;SRC-0416,NUREG-1793 Ch.6 Sec.6.3.2.2 / Unit-3 V022A qualification record,ACTIVE,V022A confirmed Unit 3 and V022A/B Unit 4; set pressure capacity discharge path and B-side Unit-3 confirmation unresolved
ACC-GAS-002,ACC-PB-001,Remote gas vent capability,vent_system,2,UNRESOLVED,Allows remote venting of accumulator gas when required,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,Resolve vent nozzle valves piping destination and actuation hardware
ACC-GEO-001,ACC-PB-001,Installed location relationship,geometry_definition,2,"containment floor just below CMTs",Defines relative plant placement,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,Exact room/elevation/coordinates from Vogtle as-built overlay pending
