record_id,zone,target_object_or_boundary,unit3_tag_or_line,site_drawing_or_isometric,work_package_or_record,support_or_structural_route,evidence_state,source_ids,status,resolved_now,remaining_closure,do_not_infer,notes
"PXS-U3-RNSB-GEO-011","DOWNSTREAM_SUCTION","L007B exact site geometry","RNS-L007B","Site isometric unresolved","M6X/P&ID retrieval route","Support package unresolved",CORROBORATED_PUBLIC,"SRC-0606;SRC-0613;SRC-0705",RETRIEVAL_REQUIRED,"Generic design includes L007B in the downstream suction family","Recover Unit-3 endpoints, line class/size/material, fittings/welds/supports/coordinates and exact relationship to L006B/L009B/V005B","Do not force an L006B→L007B→L009B local sequence without site drawing proof","Retained as a controlled line object despite lack of public site geometry."
"PXS-U3-RNSB-GEO-012","PUMP_SUCTION_ISOLATION","V005B exact placement","RNS-PL-V005B","Site isometric unresolved","Current P&ID/M6X route","Local support/operator interfaces unresolved",VERIFIED_PUBLIC,"SRC-0704;SRC-0613",RETRIEVAL_REQUIRED,"Unit-3/4 UFSAR identifies V005B as Pump B Suction Isolation","Recover current Unit-3 drawing that prints V005B and extract its line segment, valve type/size/operator, normal position, end joints, orientation, supports and any electrical/interface records","Do not infer V005B is motor-operated/manual or place it on L006B/L007B/L009B by naming convention","Tag/function are known; physical implementation is not."
"PXS-U3-RNSB-GEO-013","SUCTION_INSTRUMENTATION","V033B pressure-instrument root/takeoff","RNS-PL-V033B","Site isometric/P&ID instrument branch unresolved","Current P&ID / I&C loop-document route","Tubing/root support route unresolved",VERIFIED_PUBLIC,"SRC-0704;SRC-0613",RETRIEVAL_REQUIRED,"UFSAR identifies V033B as Pump B Suction Pressure Instrument Isolation","Recover exact process takeoff line and fitting; downstream pressure instrument tag; root/manifold/tubing geometry; valve details; calibration/test connection; signal/power/cable route","Do not create a transmitter tag, pressure range or takeoff segment by train symmetry","The pressure-measuring endpoint remains a separate unresolved object beyond V033B."
"PXS-U3-RNSB-GEO-014","SUCTION_DRAIN","V036B suction-drain branch","RNS-PL-V036B","Site isometric/P&ID drain branch unresolved","Current P&ID / drain-system interface route","Branch support/drain termination unresolved",VERIFIED_PUBLIC,"SRC-0704;SRC-0613",RETRIEVAL_REQUIRED,"UFSAR identifies V036B as Pump B Suction Piping Drain Isolation","Recover exact suction takeoff line, branch size/class/material, valve details, downstream line tag and receiving system/vessel/sump, fittings/supports and maintenance cap/plug/test hardware","Do not terminate the branch at an assumed floor drain, sump or WLS connection","The downstream drain destination must be named before this flowpath is closed."
"PXS-U3-RNSB-GEO-015","THERMAL_RELIEF","V003B/V004B branch takeoff geometry","RNS-PL-V003B / RNS-PL-V004B","Site isometric/P&ID branch unresolved","Current P&ID/M6X route","Branch supports unresolved",VERIFIED_PUBLIC,"SRC-0701;SRC-0704;SRC-0613",RETRIEVAL_REQUIRED,"V003B is directly in the Unit-3 EQ population as the thermal-relief check valve and V004B is the separately identified thermal-relief isolation valve","Recover exact takeoff line/spool, sequence, valve sizes/types/materials, any restrictor/orifice, downstream endpoint, fittings/welds/supports and coordinates","Do not merge this branch with V021 LTOP relief or place it on L004/L005/L006 without drawing proof","Separate thermal-relief graph remains mandatory."
"PXS-U3-RNSB-GEO-016","LTOP_RELIEF","V021 branch takeoff and discharge geometry","RNS-PL-V021","Site isometric/P&ID relief branch unresolved","PV16 qualification plus current P&ID route","Relief discharge supports unresolved",VERIFIED_PUBLIC,"SRC-0711;SRC-0712;SRC-0613",RETRIEVAL_REQUIRED,"V021 is a direct Unit-3 PV16 qualification object with certified LTOP relief function and a design-basis containment sump/atmosphere final-discharge boundary","Recover exact Unit-3 branch line number/takeoff, inlet/outlet sizes/classes, installed valve make/model/serial, set-pressure records, discharge piping/nozzle and supports","Do not import European V021A/B suffixes, generic L040B as an as-built line number, or a set pressure without Unit-3 records","Functional relief destination is not equivalent to physical discharge routing."
"PXS-U3-RNSB-GEO-017","PUMP_END","Pump-B final suction run and nozzle joint","RNS-L009B → RNS-MP-01B","APP-RNS-PLW-09B Rev.3 / SV3-RNS-PLW-09B Rev.1","SV3-RNS-PLW-ME0569 / weld SV3-RNS-PLW-09B-15","Pump-side piping supports require drawing recovery",VERIFIED_PUBLIC,"SRC-0611;SRC-0615;SRC-0706",ACTIVE,"Direct Unit-3 evidence fixes a 10-in Schedule-80 CJP weld from L009B to MP-01B and confirms required suction slope","Recover the full PLW-09B geometry, centerline elevations/numeric slope, upstream transition, spool/material heat traceability, all welds/NDE, supports and pump-nozzle allowable loads","Do not extend 10-in Schedule-80 to all upstream suction piping or infer V002B adjacency","This remains the strongest direct physical anchor in the B-train suction path."
"PXS-U3-RNSB-GEO-018","PUMP_GEOMETRY","MP-01B vendor outline/envelope","RNS-MP-01B","APP-MP08-V1-002 Rev.0","NRC QA receipt/design review; Q445-014-14-0001/-0002 population","APP-1215-CE-003 and APP-MZ12-V1-001/-002 for site mounting",VERIFIED_PUBLIC,"SRC-0713;SRC-0707;SRC-0709",RETRIEVAL_REQUIRED,"NRC identifies the dedicated Pump-B outline drawing and MP08 design/qualification family","Recover V1-002 dimensions: suction/discharge nozzle locations/orientations, centerline height, pump/coupling/baseplate envelope, mounting-hole pattern, maintenance/withdrawal envelope and vendor references; reconcile to final EQRR","Do not invent dimensions from the title, use Pump-A V1-001 as a dimensional substitute, or treat generic PUMPXX receipt labels as the final MP-01B serial","This drawing is the preferred geometric bridge between the L009B nozzle anchor and the pump support/base arrangement."
"PXS-U3-RNSB-GEO-019","PUMP_SUPPORT","MP-01B anchor-bolt/base support geometry","RNS-MP-01B","APP-1215-CE-003 Rev.6 / APP-MZ12-V1-001 Rev.1 / APP-MZ12-V1-002 Rev.1","Pump structural/support drawing route","Building attachment/as-built survey unresolved",VERIFIED_PUBLIC,"SRC-0707",RETRIEVAL_REQUIRED,"NRC identifies dedicated Pump-B anchor-bolt plan at elevation 66 ft 6 in and RNS pump structural-support drawings","Recover anchor count/diameter/coordinates/embedment, baseplate interface, shims/grout, steel members/plates/welds/bolts, building attachment, reactions, tolerances and as-built survey","Do not invent anchor pattern, steel sections, grout or final field position from drawing titles","Reconcile these drawings with the vendor V1-002 mounting pattern and final post-disassembly installation state."
"PXS-U3-RNSB-GEO-020","PUMP_CONFIGURATION_HISTORY","MP-01B set/anchor then disassembly/reinstallation chain","RNS-MP-01B","Final site turnover/as-built records unresolved","SV3-RNS-MPW-ME0753 / SV3-RNS-MPW-ME1743","Anchor/alignment/reassembly records unresolved",VERIFIED_PUBLIC,"SRC-0708",CONFIGURATION_HISTORY_GATE,"Public construction inventory records both a Set & Anchor package and a later MP-01B Disassembly package","Recover both packages plus the subsequent reassembly/alignment, coupling, shim/grout/anchor verification, preservation and post-maintenance test/turnover records","Do not freeze the first installation condition, serial, alignment or anchor state as final as-built","Final digital-twin pump pose and installation hardware remain gated by the post-disassembly record chain."
"PXS-U3-RNSB-GEO-021","PUMP_ADJACENT_BOUNDARY","MP-01B discharge-nozzle physical anchor outside suction path","RNS-L011B → RNS-MP-01B","Applicable Unit-3 RNS pump-discharge isometric route","SV3-RNS-PLW-ME2705 / weld SV3-RNS-PLW-161-1","Discharge supports outside this matrix scope",VERIFIED_PUBLIC,"SRC-0706",ADJACENT_REFERENCE,"Unit-3 inspection evidence identifies a 6-in Schedule-80 CJP weld between an L011B spool and MP-01B on the pump-discharge side","Recover the applicable isometric and exact discharge nozzle geometry so pump orientation can be cross-checked against V1-002 and the suction nozzle","Do not treat L011B as suction piping or use the discharge joint to infer suction dimensions","Retained only as a second physical pump-nozzle reference useful for orienting the complete MP-01B assembly."
"PXS-U3-RNSB-GEO-022","DRAWING_CONTROL","RNS site P&ID / functional-arrangement sketch bridge","RNS B-train suction network","SV3-RNS-M6-001 Rev.2→4 / SV3-RNS-M6K-FA201 Rev.0 / APP-RNS-M6-001 Rev.13→14","NRC construction/ITAAC/initial-test reviewed-document chain","M6X line table and isometrics",VERIFIED_PUBLIC,"SRC-0613",RETRIEVAL_REQUIRED,"Public NRC records establish the site P&ID/sketch identities and later standard-design P&ID revisions","Recover actual drawing contents and the APP-to-SV3 implementation/change-control history; print-extract tag-to-line connections and drawing references for V001B/V002B/V003B/V004B/V005B/V021/V033B/V036B","Do not merge APP and SV3 revision numbers or call APP Rev.14 the Unit-3 as-built P&ID without implementation evidence","This is the highest-leverage topology record family because one current sheet set can close multiple branch placements."
"PXS-U3-RNSB-GEO-023","DRAWING_CONTROL","RNS site/standard line-designation bridge","L004B/L005B/L006B/L007B/L009B and branches","SV3-RNS-M6X-004 Rev.1 / APP-RNS-M6X-004 Rev.2","APP-RNS-GEF-850028 Rev.0 shop-weld design-change route","Affected isometric/support revisions unresolved",VERIFIED_PUBLIC,"SRC-0611;SRC-0613",RETRIEVAL_REQUIRED,"NRC identifies both Unit-3 site and later standard RNS line-designation tables and a design change revising RNS isometrics for shop welds","Recover both tables and GEF-850028; establish each B-train line's size/class/service/endpoints and affected isometric/spool/weld changes; reconcile which standard changes were implemented on Unit 3","Do not assume APP Rev.2 supersedes SV3 Rev.1 on site or derive sequence from table ordering without endpoint text","This is the preferred route to convert generic line-family membership into exact Unit-3 line properties."
