record_id,tag_or_mark,description,area,configuration,evidence_state,source_ids,source_locator,current_disposition,target_confirmation,status,notes
PXS-MIN-014,PXS-PL-V021B,Accumulator B nitrogen vent isolation,accumulator gas,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 UFSAR/PXS P&ID,SEARCH_REQUIRED,
PXS-MIN-015,PXS-PL-V025A,Accumulator A sample valve,accumulator sample,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 UFSAR/PXS P&ID,SEARCH_REQUIRED,Sample destination/root tubing required
PXS-MIN-016,PXS-PL-V025B,Accumulator B sample valve,accumulator sample,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 UFSAR/PXS P&ID,SEARCH_REQUIRED,
PXS-MIN-017,PXS-PL-V026A,Accumulator A drain valve,accumulator drain,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 UFSAR/PXS P&ID,SEARCH_REQUIRED,Final drain destination required
PXS-MIN-018,PXS-PL-V026B,Accumulator B drain valve,accumulator drain,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 UFSAR/PXS P&ID,SEARCH_REQUIRED,
PXS-MIN-019,PXS-PL-V030A,CMT A high-point vent valve 1,CMT vent,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_MATCHES_GENERIC_TWO-MANUAL-VALVE_DESCRIPTION,Current Unit-3 PXS P&ID,SEARCH_REQUIRED,Potential first of two series manual valves to RCDT
PXS-MIN-020,PXS-PL-V031A,CMT A high-point vent valve 2,CMT vent,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_MATCHES_GENERIC_TWO-MANUAL-VALVE_DESCRIPTION,Current Unit-3 PXS P&ID,SEARCH_REQUIRED,Potential second series manual valve
PXS-MIN-021,PXS-PL-V030B,CMT B high-point vent valve 1,CMT vent,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_MATCHES_GENERIC_TWO-MANUAL-VALVE_DESCRIPTION,Current Unit-3 PXS P&ID,SEARCH_REQUIRED,
PXS-MIN-022,PXS-PL-V031B,CMT B high-point vent valve 2,CMT vent,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_MATCHES_GENERIC_TWO-MANUAL-VALVE_DESCRIPTION,Current Unit-3 PXS P&ID,SEARCH_REQUIRED,
PXS-MIN-023,PXS-PL-V033A,Accumulator A check-valve drain,accumulator injection,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/isometric,SEARCH_REQUIRED,Determine attachment relative to V028A/V029A and destination
PXS-MIN-024,PXS-PL-V033B,Accumulator B check-valve drain,accumulator injection,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/isometric,SEARCH_REQUIRED,
PXS-MIN-025,PXS-PL-V052,Accumulator nitrogen containment-penetration test connection valve,accumulator nitrogen boundary,VOGTLE-3-CURRENT-PUBLIC,CORROBORATED_PUBLIC,SRC-0425,Unit-3 public construction/EQ inspection trail plus N-5 boundary description,CURRENT_FUNCTION_CORROBORATED,Current Unit-3 PXS P&ID/penetration drawing,SEARCH_REQUIRED,Resolve exact 1-in branch fitting valve type cap/test fitting and penetration-side sequence
PXS-MIN-026,PXS-PL-V106,Containment recirculation high-point vent candidate 1,recirculation vent,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/PLW-470,SEARCH_REQUIRED,Older table labels both V106/V107 as recirculation A; current train mapping must be verified
PXS-MIN-027,PXS-PL-V107,Containment recirculation high-point vent candidate 2,recirculation vent,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/PLW-470,SEARCH_REQUIRED,Do not infer B-train assignment
PXS-MIN-028,PXS-PL-V115A,Containment recirculation A highpoint drain valve 1,recirculation drain,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/PLW-470,SEARCH_REQUIRED,
PXS-MIN-029,PXS-PL-V116A,Containment recirculation A highpoint drain valve 2,recirculation drain,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/PLW-470,SEARCH_REQUIRED,
PXS-MIN-030,PXS-PL-V115B,Containment recirculation B highpoint drain valve 1,recirculation drain,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/PLW-470,SEARCH_REQUIRED,
PXS-MIN-031,PXS-PL-V116B,Containment recirculation B highpoint drain valve 2,recirculation drain,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/PLW-470,SEARCH_REQUIRED,
PXS-MIN-032,PXS-PL-V126A,IRWST injection A check-test valve,IRWST test,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/isometric,SEARCH_REQUIRED,Resolve permanent test branch and final test connection
PXS-MIN-033,PXS-PL-V126B,IRWST injection B check-test valve,IRWST test,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/isometric,SEARCH_REQUIRED,
