record_id,assembly_zone,object_tag_or_boundary,object_type,function_or_connection,configuration,evidence_state,source_ids,source_locator,status,resolved_now,remaining_closure,do_not_infer,notes
"PXS-U3-RNSBSA-011","LTOP_RELIEF_BRANCH","RNS LTOP hot-leg suction relief branch / generic L040 family","Relief piping branch","Low-temperature overpressure protection relief path from the hot-leg suction line","AP1000-GENERIC-PLUS-UNIT3-V021","CORROBORATED_PUBLIC","SRC-0705;SRC-0711;SRC-0712;SRC-0716;SRC-0717","Westinghouse RNS tables; ML18226A348; ML20042E292; NUREG-1793 Ch.5; Unit-3 ITAAC Index 372/373 routes","RECONCILE_TO_CURRENT","A dedicated hot-leg suction relief path exists; Unit-3 V021 is directly bridged to PV16 Datasheet 105 and its qualification package; generic design identifies the LTOP relief-line family and AP1000 LTOP sizing basis","Exact Unit-3 line number; takeoff point; inlet/outlet pipe size/class; actual production set-pressure/capacity result; discharge destination/routing; supports; relief nozzle geometry","Do not import European V021A/B tag suffixes, assign generic L040B as the Unit-3 as-built line number, or select a discharge destination from conflicting certification passages","This LTOP path is distinct from the V003B/V004B RCS pressure-boundary thermal-relief branch."
"PXS-U3-RNSBSA-012","LTOP_RELIEF_BRANCH","RNS-PL-V021","RNS hot-leg suction pressure relief valve","Protects the RCS during low-temperature conditions by relieving the RNS hot-leg suction path","VOGTLE-3-DIRECT-QUALIFICATION-PLUS-CERTIFICATION","VERIFIED_PUBLIC","SRC-0711;SRC-0712;SRC-0716;SRC-0717","ML18226A348/ML20042E292 PV16 review; NUREG-1793 Ch.5; Unit-3 LTOP ITAAC Indexes 372/373","ACTIVE_WITH_DESTINATION_CONFLICT","Unit-3 V021 identity and direct PV16 Datasheet-105/qualification route are resolved. AP1000 LTOP design requirements include 850-gpm minimum capacity, 500-psig nominal set pressure and 550-psig full-open pressure at 10-percent accumulation. NUREG-1793 Chapter 5 is internally inconsistent on final discharge destination: the RNS design description says IRWST, while the detailed LTOP evaluation says containment sump","Recover Unit-3 ICNs ML18120A270/ML18117A424 and referenced NV-1/code-data/test records for actual installed capacity/set pressure; recover current SV3-RNS-M6-003/isometric for branch takeoff, exact discharge destination and routing; recover installed make/model/serial and complete geometry","Do not report containment atmosphere; do not choose IRWST or containment sump from the conflicting FSER text; do not treat 500 psig/850 gpm as the final measured Unit-3 production result; do not assign a vendor model from unrelated PV16 calculations","The previous project statement that the final destination was containment sump/atmosphere is superseded. Destination remains an explicit closure gate."
"PXS-U3-RNSBSA-013","DOWNSTREAM_HEADER","RNS-L004B / L005B / L006B / L007B / L009B","B-train suction piping family downstream of V001B","Carries shutdown-cooling suction from the pressure-boundary isolation region toward RNS pump B","AP1000-GENERIC-TOPOLOGY-WITH-UNIT3-END-ANCHOR","CORROBORATED_PUBLIC","SRC-0606;SRC-0617;SRC-0705;SRC-0706","Westinghouse line tables; ML17044A539 pump-end construction anchor","TOPOLOGY_PARTIAL","The downstream line family is controlled and L009B is directly confirmed at MP-01B; L004/L005 provide functional-capability portions while L006/L007/L009 are downstream portions in the generic design","Exact Unit-3 sequence and boundaries among L004B/L005B/L006B/L007B; precise V002B inlet/outlet line assignment; fittings; reducers; elbows; branches; welds; supports; line classes/materials; coordinates","Do not assign V002B directly to L005B or any other member solely because a candidate Unit-3 isometric contains L005","This row deliberately carries the family without forcing an unsupported local ordering around V002B."
"PXS-U3-RNSBSA-014","L006_CONVERGENCE","RNS-L006B","Suction-header junction segment","Receives the B common-suction tie and B heat-exchanger-bypass return before the pump-end suction path","AP1000-GENERIC-DESIGN-TOPOLOGY","CORROBORATED_PUBLIC","SRC-0616;SRC-0705","Westinghouse Table 2.3.6-2 line endpoint relationships","GENERIC_JUNCTION_RESOLVED","Generic design explicitly terminates L065B and L052B at L006B","Current Unit-3 junction fitting type and coordinates; line sizes/classes/materials; weld IDs; branch angles; supports; exact upstream/downstream continuation","Do not invent a tee/reducer geometry, branch angle, or Unit-3 coordinate from endpoint relationships alone","L006B is modeled as a real convergence object rather than a generic straight-pipe placeholder."
"PXS-U3-RNSBSA-015","L006_CONVERGENCE","RNS-L065B → RNS-L006B","Common-suction tie interface","Common suction path converges into B-train suction at L006B","AP1000-GENERIC-DESIGN-TOPOLOGY","CORROBORATED_PUBLIC","SRC-0616;SRC-0705","Westinghouse Table 2.3.6-2","GENERIC_INTERFACE_RESOLVED","L065B termination at L006B is directly listed in the generic construction-verification table","Current Unit-3 source endpoint; isolation hardware; fitting geometry; size/class/material; support; welds; exact tie location","Do not infer the current Unit-3 upstream common-suction valve lineup from the line endpoint alone","This is a cross-flowpath boundary that must later be closed by the owning RNS common-suction reconstruction."
"PXS-U3-RNSBSA-016","L006_CONVERGENCE","RNS-L052B → RNS-L006B","Heat-exchanger-bypass return interface","Returns B-train heat-exchanger bypass flow to the suction-header junction at L006B","AP1000-GENERIC-DESIGN-TOPOLOGY","CORROBORATED_PUBLIC","SRC-0616;SRC-0705","Westinghouse Table 2.3.6-2","GENERIC_INTERFACE_RESOLVED","L052B termination at L006B is directly listed in the generic construction-verification table","Current Unit-3 bypass route; flow-control hardware; fitting geometry; size/class/material; support; welds; exact tie location","Do not infer the exact V008B/bypass-valve placement or current Unit-3 geometry from the endpoint alone","This is retained as its own convergence branch so the header cannot be modeled as a simple series line."
"PXS-U3-RNSBSA-017","DOWNSTREAM_HEADER","RNS-L007B","Downstream B-train suction segment","Continues suction flow downstream of the L006-family header toward the pump-end run","AP1000-GENERIC-LINE-FAMILY","CORROBORATED_PUBLIC","SRC-0606;SRC-0705","Westinghouse RNS line tables","SEARCH_REQUIRED","L007B is part of the generic V001-to-pump suction line family","Current Unit-3 endpoints; exact relation to V005B and L009B; dimensions; fittings; welds; supports; materials; line class; coordinates","Do not force an exact L006B→L007B→L009B connection sequence until the current Unit-3 isometric proves it","The object is retained so later site-isometric recovery can land on a pre-existing controlled segment."
"PXS-U3-RNSBSA-018","PUMP_SUCTION_ISOLATION","RNS-PL-V005B","RNS pump B suction isolation valve","Isolates RNS pump B from its suction header","VOGTLE-3-UFSAR-IDENTITY","VERIFIED_PUBLIC","SRC-0704","VEGP 3&4 UFSAR Rev.8 Appendix 3I","RECONCILE_TO_CURRENT","Unit-3/4 design tag and pump-B-suction-isolation function are public","Exact Unit-3 valve type/size/operator; normal position; precise line segment; vendor/serial; materials; child instrumentation/actuation; support; electrical interfaces if applicable","Do not infer V005B is motor-operated, manually operated, or located on a specific L006/L007/L009 spool without current drawings","This valve is a required suction assembly object even though detailed public hardware data remain open."
"PXS-U3-RNSBSA-019","SUCTION_INSTRUMENTATION","RNS-PL-V033B","Pump-B suction pressure instrument isolation valve","Provides process isolation for the pump-B suction pressure sensing branch","VOGTLE-3-UFSAR-IDENTITY","VERIFIED_PUBLIC","SRC-0704","VEGP 3&4 UFSAR Rev.8 Appendix 3I","RECONCILE_TO_CURRENT","Tag and pump-B suction-pressure instrument-isolation function are public","Exact branch takeoff; associated pressure transmitter/gauge tag; tubing/root-valve arrangement; valve size/type/material; calibration/test connections; supports; signal/power/cable route","Do not invent the pressure instrument tag, range, transmitter technology, or takeoff location from V033B alone","The downstream sensing instrument is carried as a separate unresolved interface."
"PXS-U3-RNSBSA-020","SUCTION_INSTRUMENTATION","V033B downstream pressure-sensing endpoint","Instrument/process-interface boundary","Pressure measurement of RNS pump-B suction conditions","UNIT3-INSTRUMENT-ENDPOINT-UNRESOLVED","UNRESOLVED","","","RETRIEVAL_REQUIRED","V033B proves that a pump-B suction pressure instrument branch exists","Instrument tag/model/range/accuracy; sensing line; root/manifold details; calibration port; power; signal; I&C cabinet/channel; cable/raceway; alarm/display mapping","Do not create a transmitter tag or range by symmetry with train A or generic RNS instrumentation","This placeholder prevents the instrument branch from terminating at an isolation valve with no measured endpoint."
"PXS-U3-RNSBSA-021","SUCTION_DRAIN","RNS-PL-V036B","Pump-B suction-piping drain isolation valve","Isolates the drain branch from pump-B suction piping","VOGTLE-3-UFSAR-IDENTITY","VERIFIED_PUBLIC","SRC-0704","VEGP 3&4 UFSAR Rev.8 Appendix 3I","RECONCILE_TO_CURRENT","Tag and pump-B suction-piping drain-isolation function are public","Exact takeoff location; valve type/size/material; drain line number; downstream drain destination; fittings; supports; maintenance cap/plug/test hardware","Do not terminate the drain to an invented floor drain, sump, WLS connection, or containment drain system","A named downstream destination is mandatory before the drain path can be declared closed."
"PXS-U3-RNSBSA-022","SUCTION_DRAIN","V036B downstream drain destination","Drain-system boundary","Receives liquid drained from the pump-B suction piping when the drain path is intentionally aligned","UNIT3-DRAIN-DESTINATION-UNRESOLVED","UNRESOLVED","","","RETRIEVAL_REQUIRED","The V036B function establishes the existence of a downstream drain path","Named receiving system/vessel/sump; line tag; intervening valves/checks/caps; routing; elevation; backflow/isolation basis","Do not assign a receiving sump/system without a P&ID or drain-system record","This explicit orphan-prevention boundary is required by the project flowpath standard."
"PXS-U3-RNSBSA-023","PUMP_END","RNS-L009B","Pump-B suction final run","Final large-bore suction line at the RNS-MP-01B inlet","VOGTLE-3-CONSTRUCTION-PUBLIC","VERIFIED_PUBLIC","SRC-0706","ML17044A539 Section 1A09; SV3-RNS-PLW-ME0569","UNIT3_PUMP_END_CONFIRMED","L009B is directly installed at MP-01B; NRC inspection records the 10-inch Schedule-80 pump-end weld and independently verifies required suction slope","Complete upstream L009B geometry; L007B transition; elbows/reducers; pipe material/heat; spool numbers; all welds/NDE; supports; coordinates; slope value/tolerance; pump-nozzle allowable loads","Do not generalize the confirmed 10-inch Schedule-80 pump-end joint to every upstream suction segment","This is the strongest current Unit-3 physical anchor in the downstream B-train suction run."
"PXS-U3-RNSBSA-024","PUMP_END","SV3-RNS-PLW-09B-15","10-inch Schedule-80 CJP piping-to-pump weld","Joins RNS-L009B directly to RNS-MP-01B","VOGTLE-3-CONSTRUCTION-PUBLIC","VERIFIED_PUBLIC","SRC-0706","ML17044A539 Section 1A09","UNIT3_WELD_CONFIRMED","Weld ID, 10-inch Schedule-80 size, CJP joint description, and L009B-to-MP-01B endpoints are direct Unit-3 inspection facts","Base-metal specifications/heats; filler metal; weld procedure; welder ID; dimensions; NDE method/results; final repair history; exact nozzle material; coordinates","Do not invent material grades, weld procedure, filler, or NDE results from the joint description","This weld is normalized separately from the pipe and pump so fabrication records can attach cleanly."
"PXS-U3-RNSBSA-025","PUMP_END","RNS-MP-01B","RNS pump B / pressure-boundary centrifugal pump assembly","Receives B-train shutdown-cooling suction and provides pumped RNS flow","VOGTLE-3-DIRECT-EQ-POPULATION-PLUS-MP08-FAMILY","VERIFIED_PUBLIC","SRC-0701;SRC-0709","ML18054A426 Attachment A; ML20042E292 MP08 reviewed-document set","ACTIVE_WITH_CONFIGURATION_HISTORY","Unit-3 MP-01B is in the RNS EQ population and is mapped to APP-MP08-VDR-001; MP08 qualification records identify the Flowserve Flow Solutions Group 6X19WD coupled-pump design family","Completed MP-01B EQRR; exact installed pump/motor/coupling serials; impeller/shaft/bearing/seal internals; nozzle dimensions; performance curve; NPSH; motor data; lubrication/cooling; coupling guard; baseplate; final alignment; maintenance history","Do not equate the qualified 6X19WD family name with the exact Unit-3 installed nameplate/serial until the final EQRR/procurement/turnover chain is recovered","Pump installation history contains a later disassembly event and must be reconciled before final as-built promotion."
"PXS-U3-RNSBSA-026","PUMP_SUPPORT","SV3-RNS-MPW-ME0753","Pump installation work package","Set and anchor RNS-MP-01B","VOGTLE-3-CONSTRUCTION-HISTORY","VERIFIED_PUBLIC","SRC-0708","2017 Vogtle construction work-package inventory","CONFIGURATION_HISTORY","A Unit-3 work package explicitly existed for MP-01B set-and-anchor work","Work-package contents; anchor installation results; baseplate elevations; shims; grout; torque/tension; alignment; NCRs; final turnover status","Do not treat this work package as proof of the final operating configuration because a separate pump disassembly work package also exists","Retained as installation-history evidence, not a final-state record."
"PXS-U3-RNSBSA-027","PUMP_SUPPORT","SV3-RNS-MPW-ME1743","Pump disassembly work package","Disassembly of RNS-MP-01B after initial installation activity","VOGTLE-3-CONSTRUCTION-HISTORY","VERIFIED_PUBLIC","SRC-0708","2017 Vogtle construction work-package inventory","CONFIGURATION_HISTORY_GATE","Public construction inventory records a dedicated MP-01B disassembly package","Reason/scope of disassembly; removed components; preservation; inspection/repair; later reassembly package; final alignment; post-work testing; final anchor/grout condition","Do not freeze the first set-and-anchor state as the final as-built pump condition","This configuration-history event is a mandatory reconciliation gate for the pump assembly."
"PXS-U3-RNSBSA-028","PUMP_SUPPORT","APP-1215-CE-003","Pump anchor-bolt location drawing","Defines design location basis for MP-01B anchor bolts in Auxiliary Building room 112163 / elevation 66 ft 6 in","VOGTLE-3-DRAWING-ROUTE","VERIFIED_PUBLIC","SRC-0707","ML16312A506 reviewed-document list","REFERENCE_FOUND","Controlled drawing identity/revision route is public","Drawing contents; exact bolt coordinates; diameters; embedment; sleeves/templates; material; plate/base dimensions; tolerances; site revision; as-built survey","Do not invent bolt count, diameter, spacing, embedment, or final field position from the drawing title","Use the actual drawing/as-built survey when recovered to place pump anchorage."
"PXS-U3-RNSBSA-029","PUMP_SUPPORT","APP-MZ12-V1-001 / APP-MZ12-V1-002","RNS pump structural-steel support frame drawings","Support MP-01A/B and transfer pump/base loads to building structure","VOGTLE-3-DRAWING-ROUTE","VERIFIED_PUBLIC","SRC-0707","ML16312A506 reviewed-document list","REFERENCE_FOUND","Plan/elevation and support-detail drawing identities are public","Member sizes/materials; plates; welds; bolts; anchors; grout; baseplate interface; elevations; reactions; seismic qualification; field modifications; final revision","Do not invent support-frame member sections, bolt/weld sizes, or load paths from the title alone","These drawings are retrieval anchors for the complete pump support assembly."
"PXS-U3-RNSBSA-030","SUCTION_SUPPORTS","SV3-RNS-PH-12Y2060","Unit-3 RNS pipe support/snubber object","Supports/restraints an RNS piping segment associated in generic reconciliation with the L006 family","VOGTLE-3-DIRECT-SUPPORT-TAG-PLUS-GENERIC-LINE-ASSOCIATION","CORROBORATED_PUBLIC","SRC-0612","Unit-3 support record plus generic support-to-line reconciliation","RECONCILE_TO_CURRENT","A real Unit-3 support/snubber tag exists and the generic standard associates its corresponding design support with L006","Exact supported Unit-3 spool; support type; coordinates; member/attachment dimensions; snubber make/model/serial/stroke/load if applicable; weld/anchor details; building attachment; as-built orientation","Do not claim the exact Unit-3 L006B support point or snubber geometry until the site drawing/support package is recovered","This remains a controlled support candidate, not a fully placed digital-twin support."
"PXS-U3-RNSBSA-031","SUCTION_SUPPORTS","SV3-RNS-PHW-861876","Unit-3 pipe-support work package","Support installation package associated with site isometric SV3-RNS-PLW-015","VOGTLE-3-CONSTRUCTION-WORK-PACKAGE","VERIFIED_PUBLIC","SRC-0608","2017 Vogtle construction work-package inventory","SEARCH_REQUIRED","The support package is explicitly tied to PLW-015; the same inventory associates PLW-015 with RNS L005/L029/L080","Actual support tags; locations; support types; welds/bolts/anchors; member drawings; building attachments; final status; whether the package supports the V002B/L005 suction portion","Do not assign every support in PHW-861876 to V002B or L005 solely because the isometric contains multiple line numbers","Recover the package index before promoting individual support objects."
"PXS-U3-RNSBSA-032","V002B_ELECTRICAL","IDSB-DK-1 / V002B outgoing branch","250-Vdc Class-1E MCC/source boundary","Provides operating power to the V002B motor operator","VOGTLE-3-CURRENT-PUBLIC","VERIFIED_PUBLIC","SRC-0449;SRC-0450;SRC-0451;SRC-0452;SRC-0453;SRC-0467;SRC-0493","Current AP1000/Unit-3 IDS and DK01 evidence chain","ACTIVE","V002B source family is Division-B 250-Vdc Class-1E via IDSB-DK-1; outgoing branches use fusible protection","Exact MCC section/cubicle; fuse/holder/rating; contactor/reverser; overload/auxiliary devices; terminals; internal wires; branch conductor; motor LRA/FLA/nameplate; source minimum voltage; coordination calculation","Do not treat a sampled DK01 cubicle/fuse as the V002B branch and do not use historical 125-Vdc design as current","This is an electrical source boundary, not a complete source-to-motor circuit."
"PXS-U3-RNSBSA-033","V002B_ELECTRICAL","SV3-RNS-EW-PLV002BBXB / P31Y","V002B Class-1E power cable and electrical-penetration interface","Carries V002B power through the P31Y containment electrical-penetration path toward the MOV","VOGTLE-3-CONSTRUCTION-PUBLIC","VERIFIED_PUBLIC","SRC-0422;SRC-0439;SRC-0447","ML20128J831; ML19224B575; ML20042E292","ACTIVE","Cable identity, 600-V cable rating, four conductors, 240-kcmil size, and P31Y-IRC association are public","Exact ORC segment/source termination; conductor material/insulation/jacket; total route/length; feedthrough module/position/pins; IRC/ORC terminals; grounding; raceway; supports; fuse relation; actuator pigtail interface","Do not interpret 600 V as motor supply voltage and do not copy P31Y sampled module/pin/fuse data from unrelated circuits","The known cable is retained as the installed spatial/electrical anchor while penetration internals stay open."
"PXS-U3-RNSBSA-034","V002B_CONTROL","PMS command / feedback boundary","Protection and Safety Monitoring System interface","Commands V002B containment/isolation closure; enforces opening permissives; receives valve-position feedback","AP1000-R19-PLUS-VOGTLE-3-TEST","VERIFIED_PUBLIC","SRC-0457;SRC-0458;SRC-0463;SRC-0474;SRC-0475;SRC-0476;SRC-0477","AP1000 R19 RNS/PMS basis; Unit-3 CIM test identity","ACTIVE_WITH_IMPLEMENTATION_GATES","HR and S closure signals, 450-psig design-level opening inhibition, V023/V024-closed permissives, and tag-specific V002B component-test family are controlled","Exact outer-valve pressure transmitter; PMS cabinet/CIM/rack/slot/channel; I/O points; relay/interface hardware; limit-switch contacts; test bypasses; alarm/status points; current logic revision; wires/terminals","Do not infer current Unit-3 channel addresses or copy inner-valve transmitter/channel assignments to V002B","Control logic is kept separate from actuator hardware and from the unresolved diagnostic/setup record."
"PXS-U3-RNSBSA-035","V001B_ELECTRICAL","V001B motor/position electrical interface","Electrical/control boundary","Provides actuator power and position/control interfaces for inner suction MOV V001B","VOGTLE-3-TAG-FUNCTION-ONLY","CORROBORATED_PUBLIC","SRC-0704;SRC-0701","UFSAR child tags plus Unit-3 EQ population","RECONCILE_TO_CURRENT","V001B has explicit motor-operator and limit-switch child functions and is in the Unit-3 EQ population","Exact source division/MCC branch; cable marks; penetration; voltage/nameplate; PMS channels; commands/permissives; terminals; raceways; pigtails; diagnostic/setup records","Do not assign V002B's Division-B cable, P31Y path, or DK01 branch to V001B without tag-specific evidence","This boundary exists to prevent electrical symmetry assumptions between inner and outer valves."
"PXS-U3-RNSBSA-036","PUMP_ELECTRICAL","ZOS-MG-02B → RNS Pump 1B","Standby power-source boundary","Provides the documented Unit-3 standby power source for RNS Pump 1B","VOGTLE-3-TIER1-LOAD-SOURCE","VERIFIED_PUBLIC","SRC-0710","ML19329D491 COL Appendix C Table 2.6.1-2","STANDBY_SOURCE_RESOLVED","Unit-3 Tier-1 load-source table maps RNS Pump 1B standby power to ZOS-MG-02B","Normal power source; exact voltage; switchgear/breaker/starter; protection relay; transfer logic; feeder/cable marks; raceway; motor terminals/nameplate; grounding; local disconnects","Do not infer the normal feeder, motor voltage, breaker cubicle, or cable route from the standby-source mapping","The pump's complete electrical train remains a separate closure task."
"PXS-U3-RNSBSA-037","PUMP_CONTROL","RNS-MP-01B run-status / MCR Start interface","Pump control and indication boundary","Provides remote start control and run-status indication for pump B in the generic AP1000 design","AP1000-GENERIC-DESIGN","CORROBORATED_PUBLIC","SRC-0705","Westinghouse RNS construction-verification equipment table","RECONCILE_TO_CURRENT","Generic design identifies MCR Start control and run-status display for MP-01B","Current Unit-3 control system/cabinet; permissives/interlocks; breaker/starter interface; status contacts; I/O channels; local controls; alarms; test bypasses; cables; terminals","Do not assign a current Unit-3 PMS/PLS cabinet or I/O address from the generic control-function table","The control function is explicit, but plant-specific implementation remains open."
