item_id,candidate_tag,candidate_description,candidate_area,discovery_basis,target_controlling_source,disposition,evidence_state,source_ids,source_locator,status,notes
PXS-DISC-011,PXS-PL-V103A,PRHR HX outlet-head vent candidate,PRHR_vent,Older public Vogtle UFSAR equipment list,DCD R19/current Unit-3 PXS P&ID and PRHR isometric,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,
PXS-DISC-012,PXS-PL-V103B,PRHR HX outlet-head drain candidate,PRHR_drain,Older public Vogtle UFSAR equipment list,DCD R19/current Unit-3 PXS P&ID and PRHR isometric,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,
PXS-DISC-013,PXS-PL-V104A/B,PRHR flow-transmitter isolation valve candidates,PRHR_instrumentation,Older public Vogtle UFSAR equipment list,DCD R19/current Unit-3 PXS/I&C P&IDs,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Resolve sensing element impulse lines manifolds and channel destinations
PXS-DISC-014,PXS-PL-V105A/B,PRHR flow-transmitter isolation valve candidates,PRHR_instrumentation,Older public Vogtle UFSAR equipment list,DCD R19/current Unit-3 PXS/I&C P&IDs,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Potential second root/isolation side of DP flow measurement
PXS-DISC-015,PXS-PL-V106,Containment recirculation high-point vent candidate,recirculation_vent,Older public Vogtle UFSAR equipment list,DCD R19/current Unit-3 PXS P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Resolve line/train assignment and destination
PXS-DISC-016,PXS-PL-V107,Containment recirculation high-point vent candidate,recirculation_vent,Older public Vogtle UFSAR equipment list,DCD R19/current Unit-3 PXS P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,
PXS-DISC-017,PXS-PL-V111A/B,PRHR high-point vent valve candidates,PRHR_vent,Older public Vogtle UFSAR equipment list,DCD R19/current Unit-3 PXS P&ID and PRHR isometric,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Compare to documented high-point gas collection chamber/manual vent arrangement
PXS-DISC-018,PXS-PL-V113,PRHR pressure-transmitter isolation valve candidate,PRHR_instrumentation,Older public Vogtle UFSAR equipment list,DCD R19/current Unit-3 PXS/I&C P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,
PXS-DISC-019,PXS-PL-V115A/B,Containment recirculation drain valve candidates,recirculation_drain,Older public Vogtle UFSAR equipment list,DCD R19/current Unit-3 PXS P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Drain destinations required
PXS-DISC-020,PXS-PL-V116A/B,Containment recirculation drain valve candidates,recirculation_drain,Older public Vogtle UFSAR equipment list,DCD R19/current Unit-3 PXS P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Potential paired drain/isolation arrangement
PXS-DISC-021,PXS-PL-V121A/B,IRWST line isolation valve candidates,IRWST_injection,Older public UFSAR and public DCD table discovery,Current DCD R19 Tier 1/Tier 2 and Unit-3 PXS P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Strong candidate; exact current US R19 evidence should be captured before promotion
PXS-DISC-022,PXS-PL-V126A/B,IRWST injection check-test valve candidates,IRWST_test,Older public Vogtle UFSAR equipment list,DCD R19/current Unit-3 PXS P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Test connection routing and normal position required
PXS-DISC-023,PXS-PL-V151C/D;V161A-D;V162A-D,IRWST level-transmitter isolation valve families,IRWST_instrumentation,Older public Vogtle UFSAR equipment list,Current Unit-3 UFSAR and DCD R19 PXS/I&C drawings,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Resolve each sensing tap manifold channel and cable path
PXS-DISC-024,PXS-PL-V170A/B;V171A/B,PRHR flow-transmitter vent valve candidates,PRHR_instrumentation,Older public Vogtle UFSAR equipment list,Current Unit-3 UFSAR and DCD R19 PXS/I&C drawings,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,
PXS-DISC-025,PXS-PL-V201A/B;V202A/B;V205A/B;V206;V207A/B;V208A,PXS leak-test valve families,PXS_test,Older public Vogtle UFSAR equipment list plus V208A Unit-4 as-built confirmation,Current DCD R19 P&IDs and Unit-3 current P&IDs/ITAAC,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,SRC-0411,Unit-4 confirms V208A only; remaining tags are discovery candidates,SEARCH_REQUIRED,Separate every test boundary and final test connection
PXS-DISC-026,PXS-PL-V230A/B,CMT fill isolation valve candidates,CMT_fill,Older DCD/configuration-history public table,DCD R19 PXS/CVS P&ID and current Unit-3 UFSAR,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Cross-system CVS ownership must be explicit
PXS-DISC-027,PXS-PL-V231A/B,CMT fill check valve candidates,CMT_fill,Older DCD/configuration-history public table,DCD R19 PXS/CVS P&ID and current Unit-3 UFSAR,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,
PXS-DISC-028,PXS-PL-V232A/B,Accumulator fill/drain isolation valve candidates,accumulator_fill_drain,Older DCD/configuration-history public table,DCD R19 PXS P&ID and current Unit-3 UFSAR,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Determine whether one connection performs both fill/drain and its external service
PXS-DISC-029,PXS-PL-V250A/B;V251A/B;V252A/B,CMT check-valve test valve candidates,CMT_test,Older DCD/configuration-history public table,DCD R19 PXS P&ID and current Unit-3 UFSAR,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Could expose additional permanent test manifolds/branches
