document_map_id,configuration,document_id,document_title_or_scope,revision_or_status,document_type,plant_area_or_system,source_ids,source_locator,evidence_state,status,notes
PXS-DOC-011,VOGTLE-3-CURRENT-PUBLIC,APP-PXS-MY-Y01C,IRWST Screen C equipment tag/as-built drawing trail,as-built verified,equipment_tag_or_drawing,PXS IRWST screen,SRC-0405,NRC screen ITAAC inspection ML21314A277,VERIFIED_PUBLIC,AS_BUILT_VERIFIED,
PXS-DOC-012,VOGTLE-3/VOGTLE-4,SV4-MT01-V2-040,AP1000 Core Makeup Tank Parts Information and General Requirements,Rev 0 cited,fabrication_drawing,CMT,SRC-0406,NRC integrated inspection ML19135A691,VERIFIED_PUBLIC,REFERENCE_FOUND,High-value CMT part/general-requirements drawing
PXS-DOC-013,VOGTLE-3/VOGTLE-4,W3-WLM-00-00-001,AP1000 Core Make-Up Tank weld location map,Rev 2 cited,weld_map,CMT,SRC-0406,NRC integrated inspection ML19135A691,VERIFIED_PUBLIC,REFERENCE_FOUND,Use to enumerate vessel welds when underlying public content retrieved
PXS-DOC-014,VOGTLE-3/VOGTLE-4,APP-MT02-V2-001,AP1000 Accumulator Tank Final Assembly,Rev 7 cited,fabrication_drawing,Accumulator,SRC-0406,NRC integrated inspection ML19135A691,VERIFIED_PUBLIC,REFERENCE_FOUND,High-value accumulator vessel/nozzle/support drawing
PXS-DOC-015,VOGTLE-4-CURRENT-PUBLIC,N015-W4-WLM-00-00-001,Accumulator Tank Weld Location Map,revision cited in NRC record,weld_map,Accumulator,SRC-0406,NRC integrated inspection ML19135A691,VERIFIED_PUBLIC,REFERENCE_FOUND,Unit 4 evidence; do not reuse plant-specific weld IDs for Unit 3 without corroboration
PXS-DOC-016,VOGTLE-4-CURRENT-PUBLIC,N015-W4-DWF-00-12-050,Accumulator Tank As Built Drawing,revision cited in NRC record,as_built_drawing,Accumulator,SRC-0406,NRC integrated inspection ML19135A691,VERIFIED_PUBLIC,REFERENCE_FOUND,Use as corroborating plant-specific dimensional/fabrication evidence only
PXS-DOC-017,AP1000-GENERIC,NUREG-1826,APEX-AP1000 Confirmatory Testing,Final NUREG,integral_test_report,PXS/ADS/PRHR/IRWST,SRC-0403,NUREG-1826,VERIFIED_PUBLIC,REFERENCE,Use for function/transient validation rather than geometry/BOM
PXS-DOC-018,AP1000/VOGTLE,APP-MT01-Z0-100,Design Specification for AP1000 Core Makeup Tank for System PXS,Rev 9 generic cited / plant-specific Rev 4 cited,design_specification,CMT,SRC-0404;SRC-0406,NRC inspection ML17044A539 / ML19135A691,VERIFIED_PUBLIC,REFERENCE_FOUND,Configuration/revision differences must be reconciled before final plant-specific use
PXS-DOC-019,AP1000/VOGTLE,APP-MT01-Z0R-001,AP1000 Core Makeup Tank ASME Generic Design Report,Rev 7 cited,ASME_design_report,CMT,SRC-0406,NRC inspection ML19135A691,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-020,AP1000/VOGTLE,APP-MT01-Z0R-011,AP1000 Core Makeup Tank Inlet and Outlet Nozzle Analysis,Rev 7 cited,stress_analysis,CMT nozzles,SRC-0406,NRC inspection ML19135A691,VERIFIED_PUBLIC,REFERENCE_FOUND,Primary public document trail for inlet/outlet nozzle stress and local geometry
PXS-DOC-021,AP1000/VOGTLE,APP-MT01-S2C-010,AP1000 Core Make-Up Tank Support System Structural Analysis,Rev 3 cited,structural_analysis,CMT supports,SRC-0404,NRC inspection ML17044A539,VERIFIED_PUBLIC,REFERENCE_FOUND,Priority source for column/baseplate/anchor/seismic load-path resolution
PXS-DOC-022,VOGTLE-4-CURRENT-PUBLIC,SV4-MT01-Z0-200,AP1000 Core Makeup Tank Fabrication Specification,Rev 0,fabrication_specification,CMT,SRC-0406,NRC inspection ML19135A691,VERIFIED_PUBLIC,REFERENCE_FOUND,NRC finding identifies full-penetration manway-to-shell weld CW-035 and RT requirements
PXS-DOC-023,AP1000/VOGTLE,APP-MT02-Z0-101,Design Specification for AP1000 Accumulator Tank for PXS,Rev 8/9 cited,design_specification,Accumulator,SRC-0404;SRC-0406,NRC inspections ML17044A539 / ML19135A691,VERIFIED_PUBLIC,REFERENCE_FOUND,Reconcile revision by configuration
PXS-DOC-024,AP1000/VOGTLE,APP-MT02-Z0R-001,Detailed Analysis of AP1000 Accumulator Tank,Rev 7 cited,stress_analysis,Accumulator,SRC-0404,NRC inspection ML17044A539,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-025,AP1000/VOGTLE,APP-MT02-Z0R-101,AP1000 Accumulator Tank Generic Design Report,Rev 6 cited,ASME_design_report,Accumulator,SRC-0404,NRC inspection ML17044A539,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-026,AP1000/VOGTLE,APP-ME02-ZZ0-101,Design Specification for AP1000 PRHR HX for System PXS,Rev 13 cited,design_specification,PRHR HX,SRC-0406,NRC inspection ML19135A691 Section 1A13,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-027,AP1000/VOGTLE,APP-ME02-V2-001,AP1000 PRHR HX Assembly Drawing,Rev 3 cited,fabrication_drawing,PRHR HX,SRC-0406,NRC inspection ML19135A691 Section 1A13,VERIFIED_PUBLIC,REFERENCE_FOUND,Highest-priority geometry/BOM source for PRHR HX
PXS-DOC-028,AP1000/VOGTLE,APP-ME02-V2-006,AP1000 PRHR HX Lower Support Assembly,Rev 4 cited,fabrication_drawing,PRHR HX supports,SRC-0406,NRC inspection ML19135A691 Section 1A13,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-029,AP1000/VOGTLE,APP-ME02-GEF-077,PRHR HX Lower Support Modification and Base Plate to Embedment Plate Weld Attachment,Rev 0,E&DCR,PRHR HX supports,SRC-0406,NRC inspection ML19135A691 Section 1A13,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-030,AP1000/VOGTLE,APP-ME02-Z0-200,AP1000 PRHR HX Fabrication Specification,Rev 2,fabrication_specification,PRHR HX,SRC-0406,NRC fabrication inspection ML18226A348,VERIFIED_PUBLIC,REFERENCE_FOUND,NRC inspection identifies RT requirements and Category A full-penetration weld CW-006/2
PXS-DOC-031,VOGTLE-3-CURRENT-PUBLIC,SV3-ME02-Z0R-001,AP1000 PRHR HX Vogtle Unit 3 ASME Code Design,Rev 1,ASME_design_report,PRHR HX,SRC-0406,NRC fabrication inspection ML18226A348,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-032,AP1000/VOGTLE,APP-ME02-Z0M-101,AP1000 PRHR HX Standard Technical Manual,Rev 2,technical_manual,PRHR HX,SRC-0406,NRC fabrication inspection ML18226A348,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-033,VOGTLE-3-CURRENT-PUBLIC,SV3-MY03-V0-100,IRWST Screen Envelope Drawing,Rev 2,as_built_drawing,PXS screens,SRC-0405,NRC inspection ML19220B678 Section 1A08,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-034,VOGTLE-3-CURRENT-PUBLIC,SV3-MY03-V0-101,IRWST Screens Layout Drawing,Rev 2,layout_drawing,PXS screens,SRC-0405,NRC inspection ML19220B678 Section 1A08,VERIFIED_PUBLIC,REFERENCE_FOUND,Priority for plant-specific positions/orientations
PXS-DOC-035,VOGTLE-3-CURRENT-PUBLIC,SV3-MY03-V0-002,Containment Recirculation Screen Layout Drawing,Rev 2,layout_drawing,PXS recirculation screens,SRC-0405,NRC inspection ML19220B678 Section 1A08,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-036,VOGTLE-3-CURRENT-PUBLIC,SV3-MY03-V0-001,Containment Recirculation Screen Envelope Drawing,Rev 2,as_built_drawing,PXS recirculation screens,SRC-0405,NRC inspection ML19220B678 Section 1A08,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-037,VOGTLE-3-CURRENT-PUBLIC,SV3-MY07-V0-001,AP1000 PXS pH Adjustment Basket Type 1,Rev 0,fabrication_drawing,pH adjustment,SRC-0405,NRC inspection ML19220B678 Section 1A08,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-038,VOGTLE-3-CURRENT-PUBLIC,SV3-MY07-V1-001,AP1000 PXS pH Adjustment Basket Type 1 Installation Details for Clips,Rev 0,installation_drawing,pH adjustment,SRC-0405,NRC inspection ML19220B678 Section 1A08,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-039,VOGTLE-3-CURRENT-PUBLIC,SV3-MY07-V0-002,AP1000 PXS pH Adjustment Basket Type 2,Rev 0,fabrication_drawing,pH adjustment,SRC-0405,NRC inspection ML19220B678 Section 1A08,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-040,VOGTLE-3-CURRENT-PUBLIC,SV3-MY07-V1-002,AP1000 PXS pH Adjustment Basket Type 2 Installation Details for Clips,Rev 0,installation_drawing,pH adjustment,SRC-0405,NRC inspection ML19220B678 Section 1A08,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-041,VOGTLE-3-CURRENT-PUBLIC,SV3-MY07-Z0-001,AP1000 PXS pH Adjustment Baskets,Rev 0,arrangement_drawing,pH adjustment,SRC-0405,NRC inspection ML19220B678 Section 1A08,VERIFIED_PUBLIC,REFERENCE_FOUND,Priority source for tag/type/location mapping
PXS-DOC-042,VOGTLE-3-CURRENT-PUBLIC,SV3-MY07-Z0R-001,PXS pH Adjustment Basket Data Sheet Report,Rev 0,data_sheet_report,pH adjustment,SRC-0405,NRC inspection ML19220B678 Section 1A08,VERIFIED_PUBLIC,REFERENCE_FOUND,
