item_id,parent_scope,part_or_assembly_name,object_type,quantity,nominal_data,relationship,evidence_state,source_ids,source_locator,status,notes
PXS-ACC-CV-B,PXS-ACC-B,Accumulator B series discharge check valves,check_valve_set,2,Swing-disc check valves in series,Open when RCS pressure falls below accumulator pressure,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,
PXS-IRWST,PXS-001,In-containment Refueling Water Storage Tank,water_storage_tank,1,"Minimum required water volume 73,900 ft3; nominal FSER description 78,900 ft3; boron about 2600 ppm",Gravity injection source and heat sink for PRHR/ADS spargers,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.3 / DCD Table 6.3-2,ACTIVE,Keep nominal tank inventory and minimum required credited water volume as separate fields
PXS-PRHR,PXS-001,Passive Residual Heat Removal Heat Exchanger,heat_exchanger,1,"100% capacity; C-shaped tube bank; 0.75-in tube OD",Natural-circulation decay heat removal from RCS to IRWST,VERIFIED_PUBLIC,SRC-0011;SRC-0401;SRC-0402,NUREG-1793 Ch.5 Sec.5.4.14 / Ch.6 / DCD Sec.6.3,ACTIVE,Tube count/material/channel-head geometry pending
PXS-PRHR-UTS,PXS-PRHR,Upper tubesheet,tubesheet,1,UNRESOLVED,Receives hot-leg inlet channel head and C-tube upper ends,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14.1,ACTIVE,
PXS-PRHR-LTS,PXS-PRHR,Lower tubesheet,tubesheet,1,UNRESOLVED,Receives outlet channel head and C-tube lower ends,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14.1,ACTIVE,
PXS-PRHR-IN,PXS-PRHR,PRHR inlet channel head,channel_head,1,UNRESOLVED,Connects RCS hot-leg inlet line to upper tubesheet,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14.1,ACTIVE,
PXS-PRHR-OUT,PXS-PRHR,PRHR outlet channel head,channel_head,1,UNRESOLVED,Connects lower tubesheet to associated SG cold-side channel head/RCP suction plenum,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14.1,ACTIVE,
PXS-DVI-A,PXS-001,Direct Vessel Injection flow path A,dvi_flow_path,1,UNRESOLVED,Common final injection path to reactor-vessel DVI nozzle A,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,ACTIVE,Receives CMT accumulator IRWST and RNS interfaces
PXS-DVI-B,PXS-001,Direct Vessel Injection flow path B,dvi_flow_path,1,UNRESOLVED,Common final injection path to reactor-vessel DVI nozzle B,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,ACTIVE,
PXS-PH-BASKETS,PXS-001,pH adjustment basket assembly,pH_adjustment_basket_set,2,"Minimum required volume 280 ft3 each",Provides post-accident containment-water pH adjustment,VERIFIED_PUBLIC,SRC-0402;SRC-0405,DCD Rev.19 Table 6.3-2 / NRC inspection ML19220B678,ACTIVE,Type 1/Type 2 drawings and clip-installation details are in public inspection document trail
