object_id,parent_id,name,object_type,quantity,system_id,nominal_dimension_or_description,evidence_state,source_ids,source_locator,status,notes
PXS-IRWST-INJ-A,PXS-IRWST,IRWST gravity injection path A,gravity_injection_line,1,SYS-PXS,"Normally open MOV plus two parallel check-valve/squib-valve branches",VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.3 / DCD Fig.6.3-1,ACTIVE,
PXS-IRWST-INJ-B,PXS-IRWST,IRWST gravity injection path B,gravity_injection_line,1,SYS-PXS,"Normally open MOV plus two parallel check-valve/squib-valve branches",VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.3 / DCD Fig.6.3-1,ACTIVE,
PXS-DVI-A,PXS-ASSEMBLY,Direct Vessel Injection path A,dvi_flow_path,1,SYS-PXS,"Common injection path receiving CMT accumulator IRWST and RNS interfaces",VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,ACTIVE,RNS boundary remains to be promoted separately
PXS-DVI-B,PXS-ASSEMBLY,Direct Vessel Injection path B,dvi_flow_path,1,SYS-PXS,"Common injection path receiving CMT accumulator IRWST and RNS interfaces",VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,ACTIVE,RNS boundary remains to be promoted separately
PXS-RV-DVI-A-BND,PXS-ASSEMBLY,Reactor vessel DVI nozzle A boundary,external_process_interface,1,SYS-PXS,"Boundary to reactor-vessel DVI nozzle A",VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,BOUNDARY,Will be replaced by cross-system canonical RCS vessel port when compiler supports local cross-system graphs
PXS-RV-DVI-B-BND,PXS-ASSEMBLY,Reactor vessel DVI nozzle B boundary,external_process_interface,1,SYS-PXS,"Boundary to reactor-vessel DVI nozzle B",VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,BOUNDARY,Will be replaced by cross-system canonical RCS vessel port when compiler supports local cross-system graphs
PXS-PRHR,PXS-ASSEMBLY,Passive Residual Heat Removal Heat Exchanger,heat_exchanger,1,SYS-PRHR,"689 C-shaped tubes; 0.75-in OD; submerged in IRWST",VERIFIED_PUBLIC,SRC-0011;SRC-0401;SRC-0406,NUREG-1793 Ch.5 Sec.5.4.14 / Ch.6 Sec.6.3 / NRC fabrication inspection ML18226A348,ACTIVE,
PXS-PRHR-INLET,PXS-PRHR,PRHR inlet path,pipe_run,1,SYS-PRHR,"Hot-leg supply through redundant parallel fail-open AOVs",VERIFIED_PUBLIC,SRC-0011;SRC-0402,NUREG-1793 Ch.5 Sec.5.4.14 / DCD Sec.6.3,ACTIVE,
PXS-PRHR-RETURN,PXS-PRHR,PRHR return path,pipe_run,1,SYS-PRHR,"Returns cooled RCS coolant toward associated SG cold-side/RCP suction region",VERIFIED_PUBLIC,SRC-0002;SRC-0011,Rev.19 Appendix 3B / NUREG-1793 Ch.5 Sec.5.4.14,ACTIVE,Exact final nozzle nomenclature remains under RCS/SG reconciliation
PXS-PRHR-HOT-BND,PXS-ASSEMBLY,RCS hot-leg PRHR supply boundary,external_process_interface,1,SYS-PRHR,"Boundary to one RCS hot-leg connection",VERIFIED_PUBLIC,SRC-0011;SRC-0402,NUREG-1793 Ch.5 Sec.5.4.14 / DCD Fig.6.3-1,BOUNDARY,
PXS-PRHR-RET-BND,PXS-ASSEMBLY,RCS PRHR return boundary,external_process_interface,1,SYS-PRHR,"Boundary to steam-generator cold-side/channel-head/RCP suction region",VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14,BOUNDARY,Exact RCS equipment port to be resolved from current P&ID and SG drawing
ADS-ASSEMBLY,PXS-ASSEMBLY,Automatic Depressurization System interface assembly,system_assembly,1,SYS-ADS,"Stages 1-3 to IRWST spargers; Stage 4 to containment",VERIFIED_PUBLIC,SRC-0007;SRC-0401;SRC-0402,AP1000 Tech Spec Bases / NUREG-1793 Ch.6 / DCD Sec.6.3,ACTIVE,ADS functional ownership remains SYS-ADS while represented in PXS safety graph
ADS-COMMON-A,ADS-ASSEMBLY,ADS Stages 1-3 common discharge line A,discharge_pipe_run,1,SYS-ADS,"Collects one flow path from each of ADS Stages 1 2 and 3",VERIFIED_PUBLIC,SRC-0007;SRC-0401,AP1000 Tech Spec Bases / NUREG-1793 Ch.6,ACTIVE,Upstream stage-specific valves are canonicalized in SYS-ADS strict graph
ADS-COMMON-B,ADS-ASSEMBLY,ADS Stages 1-3 common discharge line B,discharge_pipe_run,1,SYS-ADS,"Collects one flow path from each of ADS Stages 1 2 and 3",VERIFIED_PUBLIC,SRC-0007;SRC-0401,AP1000 Tech Spec Bases / NUREG-1793 Ch.6,ACTIVE,Upstream stage-specific valves are canonicalized in SYS-ADS strict graph
PXS-SPARGER-A,PXS-IRWST,ADS discharge sparger A,ads_sparger,1,SYS-PXS,"Vogtle overlay: SV3-PXS-MW-01A; four arms; 1400 holes",VERIFIED_PUBLIC,SRC-0404,NRC ITAAC inspection ML17044A539,ACTIVE,Generic and Vogtle geometry remain separable
PXS-SPARGER-B,PXS-IRWST,ADS discharge sparger B,ads_sparger,1,SYS-PXS,"Vogtle overlay: SV3-PXS-MW-01B; four arms; 1400 holes",VERIFIED_PUBLIC,SRC-0404,NRC ITAAC inspection ML17044A539,ACTIVE,
PXS-SUMP,PXS-ASSEMBLY,Containment sump/floodup collection volume,containment_sump,1,SYS-PXS,"Post-LOCA containment water collection feeding long-term gravity recirculation",VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Sec.6.3,ACTIVE,Exact civil geometry coordinated with containment package
PXS-RECIRC-A,PXS-SUMP,Containment gravity recirculation path A,gravity_recirculation_line,1,SYS-PXS,"Parallel MOV+squib and check+squib branches",VERIFIED_PUBLIC,SRC-0401;SRC-0412;SRC-0420,NUREG-1793 Ch.6 / Unit-3 recirculation tests / COL component list,ACTIVE,Valve tags V117A V118A V119A V120A confirmed across Unit-3/licensing records; exact canonical branch sequencing being promoted
PXS-RECIRC-B,PXS-SUMP,Containment gravity recirculation path B,gravity_recirculation_line,1,SYS-PXS,"Parallel MOV+squib and check+squib branches",VERIFIED_PUBLIC,SRC-0401;SRC-0412;SRC-0420,NUREG-1793 Ch.6 / Unit-3 recirculation tests / COL component list,ACTIVE,Valve tags V117B V118B V119B V120B confirmed across Unit-3/licensing records; exact canonical branch sequencing being promoted
