item_id,parent_scope,part_or_assembly_name,object_type,quantity,nominal_data,upstream,downstream,normal_state_or_actuation,configuration,evidence_state,source_ids,source_locator,status,notes
ADS-S2-A-V2,ADS-S2-A,Stage 2A downstream depressurization valve,motor_operated_valve,1,"8 in; DC motor operated",ADS-S2-A-V1,ADS-COMMON-A,Normally closed; opens on Stage 2 ADS actuation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S2-B,ADS-001,ADS Stage 2 flow path B,depressurization_flow_path,1,"8-in valve basis",ADS-HDR-PZR,ADS-COMMON-B,Two normally closed DC motor-operated valves in series,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S2-B-V1,ADS-S2-B,Stage 2B upstream depressurization valve,motor_operated_valve,1,"8 in; DC motor operated",ADS-HDR-PZR,ADS-S2-B-V2,Normally closed; opens on Stage 2 ADS actuation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S2-B-V2,ADS-S2-B,Stage 2B downstream depressurization valve,motor_operated_valve,1,"8 in; DC motor operated",ADS-S2-B-V1,ADS-COMMON-B,Normally closed; opens on Stage 2 ADS actuation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S3-A,ADS-001,ADS Stage 3 flow path A,depressurization_flow_path,1,"8-in valve basis",ADS-HDR-PZR,ADS-COMMON-A,Two normally closed DC motor-operated valves in series,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S3-A-V1,ADS-S3-A,Stage 3A upstream depressurization valve,motor_operated_valve,1,"8 in; DC motor operated",ADS-HDR-PZR,ADS-S3-A-V2,Normally closed; opens on Stage 3 ADS actuation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S3-A-V2,ADS-S3-A,Stage 3A downstream depressurization valve,motor_operated_valve,1,"8 in; DC motor operated",ADS-S3-A-V1,ADS-COMMON-A,Normally closed; opens on Stage 3 ADS actuation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S3-B,ADS-001,ADS Stage 3 flow path B,depressurization_flow_path,1,"8-in valve basis",ADS-HDR-PZR,ADS-COMMON-B,Two normally closed DC motor-operated valves in series,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S3-B-V1,ADS-S3-B,Stage 3B upstream depressurization valve,motor_operated_valve,1,"8 in; DC motor operated",ADS-HDR-PZR,ADS-S3-B-V2,Normally closed; opens on Stage 3 ADS actuation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S3-B-V2,ADS-S3-B,Stage 3B downstream depressurization valve,motor_operated_valve,1,"8 in; DC motor operated",ADS-S3-B-V1,ADS-COMMON-B,Normally closed; opens on Stage 3 ADS actuation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-COMMON-A,ADS-001,ADS stages 1-3 common discharge line A,discharge_pipe_run,1,UNRESOLVED,ADS stages 1A/2A/3A,PXS-SPARGER-A,Collects staged discharge to IRWST,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007;SRC-0401,AP1000 Tech Spec Bases / NUREG-1793 Ch.6,ACTIVE,Exact line size/material/supports/branch tees unresolved
ADS-COMMON-B,ADS-001,ADS stages 1-3 common discharge line B,discharge_pipe_run,1,UNRESOLVED,ADS stages 1B/2B/3B,PXS-SPARGER-B,Collects staged discharge to IRWST,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007;SRC-0401,AP1000 Tech Spec Bases / NUREG-1793 Ch.6,ACTIVE,
ADS-S4-A1,ADS-001,ADS Stage 4 flow path A1,depressurization_flow_path,1,"14-in squib valve basis",RCS hot leg,Containment steam-generator compartment,Normally open MOV in series with normally closed squib valve; squib actuates on Stage 4,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,Exact hot-leg assignment/tag to reconcile with P&ID
ADS-S4-A2,ADS-001,ADS Stage 4 flow path A2,depressurization_flow_path,1,"14-in squib valve basis",RCS hot leg,Containment steam-generator compartment,Normally open MOV in series with normally closed squib valve; squib actuates on Stage 4,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S4-B1,ADS-001,ADS Stage 4 flow path B1,depressurization_flow_path,1,"14-in squib valve basis",RCS hot leg,Containment steam-generator compartment,Normally open MOV in series with normally closed squib valve; squib actuates on Stage 4,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S4-B2,ADS-001,ADS Stage 4 flow path B2,depressurization_flow_path,1,"14-in squib valve basis",RCS hot leg,Containment steam-generator compartment,Normally open MOV in series with normally closed squib valve; squib actuates on Stage 4,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S4-MOV-SET,ADS-001,ADS Stage 4 normally-open motor-operated isolation valves,motor_operated_valve_set,4,UNRESOLVED,RCS hot-leg branch,Stage 4 squib valves,Normally open,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,Instantiate exact individual tags after P&ID/ITAAC mapping
ADS-S4-SQUIB-SET,ADS-001,ADS Stage 4 squib valves,squib_valve_set,4,"14 in",Stage 4 MOVs,Containment discharge pipes,Normally closed; irreversible pyrotechnic actuation opens flow path,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,Exact plant-specific valve tags/design records to map from ITAAC/public construction files
