connection_id,from_port_id,to_port_id,connection_class,service_or_medium,nominal_size,evidence_state,source_ids,source_locator,status,notes
PXS-CONN-011,PXS-IRWST-INJ-B-SRC,PXS-IRWST-INJ-B-IN,gravity_flow,borated water,,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.3 / DCD Fig.6.3-1,ACTIVE,
PXS-CONN-012,PXS-IRWST-INJ-B-OUT,PXS-DVI-B-IRWST,gravity_flow,borated water,,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.3 / DCD Fig.6.3-1,ACTIVE,
PXS-CONN-013,PXS-DVI-A-RV,PXS-RV-DVI-A-IN,pressure_boundary_flow,borated reactor coolant,,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,ACTIVE,Cross-system compiler will later join this boundary to reactor-vessel DVI nozzle A
PXS-CONN-014,PXS-DVI-B-RV,PXS-RV-DVI-B-IN,pressure_boundary_flow,borated reactor coolant,,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,ACTIVE,Cross-system compiler will later join this boundary to reactor-vessel DVI nozzle B
PXS-CONN-015,PXS-PRHR-HOT-BND-OUT,PXS-PRHR-INLET-IN,pressure_boundary_flow,reactor coolant,,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14,ACTIVE,Boundary originates at one RCS hot leg
PXS-CONN-016,PXS-PRHR-INLET-OUT,PXS-PRHR-HX-IN,pressure_boundary_flow,reactor coolant,,VERIFIED_PUBLIC,SRC-0011;SRC-0402,NUREG-1793 Ch.5 Sec.5.4.14 / DCD Sec.6.3,ACTIVE,Parallel fail-open AOV pair retained in detailed PRHR topology
PXS-CONN-017,PXS-PRHR-HX-OUT,PXS-PRHR-RETURN-IN,pressure_boundary_flow,reactor coolant,,VERIFIED_PUBLIC,SRC-0011;SRC-0406,NUREG-1793 Ch.5 Sec.5.4.14 / NRC PRHR fabrication inspection,ACTIVE,
PXS-CONN-018,PXS-PRHR-RETURN-OUT,PXS-PRHR-RET-BND-IN,pressure_boundary_flow,reactor coolant,,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14,ACTIVE,Exact terminal RCS nozzle remains under SG/RCP reconciliation
PXS-CONN-019,ADS-COMMON-A-OUT,PXS-SPARGER-A-IN,ads_discharge,steam/reactor coolant,,VERIFIED_PUBLIC,SRC-0007;SRC-0401;SRC-0404,AP1000 Tech Spec Bases / NUREG-1793 Ch.6 / NRC sparger inspection,ACTIVE,
PXS-CONN-020,PXS-SPARGER-A-OUT,PXS-IRWST-ADS-A-IN,submerged_discharge,steam/reactor coolant,,VERIFIED_PUBLIC,SRC-0401;SRC-0404,NUREG-1793 Ch.6 / NRC ITAAC inspection ML17044A539,ACTIVE,Aggregate interface represents 1400 individual Vogtle discharge holes
PXS-CONN-021,ADS-COMMON-B-OUT,PXS-SPARGER-B-IN,ads_discharge,steam/reactor coolant,,VERIFIED_PUBLIC,SRC-0007;SRC-0401;SRC-0404,AP1000 Tech Spec Bases / NUREG-1793 Ch.6 / NRC sparger inspection,ACTIVE,
PXS-CONN-022,PXS-SPARGER-B-OUT,PXS-IRWST-ADS-B-IN,submerged_discharge,steam/reactor coolant,,VERIFIED_PUBLIC,SRC-0401;SRC-0404,NUREG-1793 Ch.6 / NRC ITAAC inspection ML17044A539,ACTIVE,Aggregate interface represents 1400 individual Vogtle discharge holes
PXS-CONN-023,PXS-SUMP-OUT-A,PXS-RECIRC-A-IN,gravity_recirculation,post-LOCA borated containment water,,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,
PXS-CONN-024,PXS-RECIRC-A-OUT,PXS-IRWST-INJ-A-RECIRC,gravity_recirculation,post-LOCA borated containment water,,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,Parallel MOV/squib and check/squib branch detail retained in recirculation research register
PXS-CONN-025,PXS-SUMP-OUT-B,PXS-RECIRC-B-IN,gravity_recirculation,post-LOCA borated containment water,,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,
PXS-CONN-026,PXS-RECIRC-B-OUT,PXS-IRWST-INJ-B-RECIRC,gravity_recirculation,post-LOCA borated containment water,,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,Parallel MOV/squib and check/squib branch detail retained in recirculation research register
