line_group_id,function_or_route,line_numbers,upstream_boundary,downstream_boundary,configuration,evidence_state,source_ids,source_locator,status,notes
PXS-U4-LG-011,IRWST injection A primary line group,"PXS-L123A;PXS-L125A;PXS-L127A",IRWST,DVI line A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 674-682,ACTIVE,Check/squib branches and line-isolation MOV to map individually
PXS-U4-LG-012,IRWST injection A additional branch group,"PXS-L124A;PXS-L118A;PXS-L117A;PXS-L116A;PXS-L112A",IRWST injection train A,DVI/recirculation interfaces,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 710-716,ACTIVE,Exact function of each numbered segment to resolve from P&ID
PXS-U4-LG-013,IRWST injection A additional evaluated lines,"PXS-L133A;PXS-L134A",IRWST injection train A,DVI/recirculation interfaces,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 717-720,ACTIVE,
PXS-U4-LG-014,IRWST injection B primary line group,"PXS-L123B;PXS-L125B;PXS-L127B",IRWST,DVI line B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 721-728,ACTIVE,
PXS-U4-LG-015,IRWST injection B additional branch group,"PXS-L124B;PXS-L118B;PXS-L117B;PXS-L116B;PXS-L114;PXS-L112B;PXS-L120",IRWST injection train B,DVI/recirculation interfaces,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 729-737,ACTIVE,Exact function of each numbered segment to resolve from P&ID
PXS-U4-LG-016,IRWST injection B additional evaluated lines,"PXS-L133B;PXS-L134B",IRWST injection train B,DVI/recirculation interfaces,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 738-741,ACTIVE,
PXS-U4-LG-017,IRWST screen cross-connect lines,"PXS-L180A;PXS-L180B",IRWST screen/manifold region,IRWST screen/manifold region,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 742-748,ACTIVE,Cross-connect valves/fittings/instrumentation unresolved
PXS-U4-LG-018,Containment recirculation line A,"PXS-L113A;PXS-L131A;PXS-L132A",Containment recirculation sump A,IRWST/DVI injection path A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 776-783,ACTIVE,Map V117A/V118A/V119A/V120A and branch topology to exact line segments
PXS-U4-LG-019,Containment recirculation line B,"PXS-L100;PXS-L101;PXS-L106;PXS-L113B;PXS-L131B;PXS-L132B",Containment recirculation sump B,IRWST/DVI injection path B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 784-794,ACTIVE,Map V117B/V118B/V119B/V120B and branch topology to exact line segments
PXS-U4-LG-020,IRWST gutter drain functional lines,"PXS-L142A;PXS-L142B;PXS-L183A;PXS-L183B;PXS-L184A;PXS-L184B;PXS-L185A;PXS-L185B",Containment gutter/operating-deck collection,IRWST/containment sump drain network,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 795-807,ACTIVE,Map V130A/B and overflow/drain routing to exact line segments
PXS-U4-LG-021,IRWST gutter drain additional lines,"PXS-L141A;PXS-L141B",Containment gutter/operating-deck collection,Drain/overflow network,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 808-812,ACTIVE,Exact function requires drawing reconciliation
PXS-U4-LG-022,Polar-crane/internal-stiffener downspout lines to collection box A,"PXS-L301A;PXS-L302A;PXS-L303A;PXS-L304A;PXS-L305A;PXS-L306A;PXS-L307A;PXS-L308A;PXS-L309A;PXS-L310A",Polar crane girder/internal stiffener,Collection box A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 813-860,ACTIVE,Individual downspouts fittings supports collection box construction and final drain destination unresolved
PXS-U4-LG-023,Polar-crane/internal-stiffener downspout lines to collection box B,"PXS-L301B;PXS-L302B;PXS-L303B;PXS-L304B;PXS-L305B;PXS-L306B;PXS-L307B;PXS-L308B;PXS-L309B;PXS-L310B",Polar crane girder/internal stiffener,Collection box B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 861-882,ACTIVE,Individual downspouts fittings supports collection box construction and final drain destination unresolved
