item_id,parent_id,part_or_assembly_name,object_type,quantity,nominal_dimension_or_material,relationship,evidence_state,source_ids,source_locator,status,notes
RV-014,RV-013,Sliding support interface,sliding_bearing_surface,4,UNRESOLVED,Accommodates vessel thermal expansion and contraction,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.1,ACTIVE,Surface material/finish/lubrication if any unresolved
RV-015,RV-013,Support side-stop set,lateral_restraint,4,UNRESOLVED,Keeps vessel centered and resists lateral loads,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.1,ACTIVE,Exact stop count per support and clearances unresolved
RV-016,RV-001,Reactor-vessel support box/leg,support_box,4,"Safety-related; Seismic Category I support function",Located under cold-leg nozzle support regions and carries vessel load to shield-wall base,VERIFIED_PUBLIC,SRC-0003,NUREG-1793 Supplement 2 / certified amendment Item 12 RPV Support System,ACTIVE,Revision-19 support configuration replaces original CA04 anchorage concept
RV-017,RV-016,Support-box steel embedment plate,structural_embedment,4,UNRESOLVED,Anchors each support box directly to primary shield-wall concrete base,VERIFIED_PUBLIC,SRC-0003,NUREG-1793 Supplement 2 / certified amendment Item 12,ACTIVE,Exact plate/anchor/stud/weld schedule unresolved
RV-018,RV-001,Primary shield-wall concrete support interface,civil_support_boundary,1,UNRESOLVED,Receives RPV loads through four support boxes and embedment plates,VERIFIED_PUBLIC,SRC-0003,NUREG-1793 Supplement 2 / certified amendment Item 12,BOUNDARY,Detailed concrete/reinforcement geometry belongs to civil work package
RV-019,RV-006,Closure-head stud,closure_stud,45,"7 in nominal diameter; SA-540 Grade B23 Class 3 or Grade B24 Class 3",Clamps closure head to reactor vessel body flange,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Secs.5.2.3/5.3.4 and design parameter table,ACTIVE,Individual thread geometry length and pretension/torque unresolved
RV-020,RV-006,Closure-stud nut,closure_nut,UNRESOLVED,ASME Section III reactor-vessel closure fastener,Threads onto closure studs to clamp head,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.3 Reactor Vessel Fasteners,ACTIVE,DCD confirms nuts but quantity/material details require drawing; do not infer quantity yet
RV-021,RV-006,Closure-stud washer,closure_washer,UNRESOLVED,ASME Section III reactor-vessel closure fastener,Used with closure stud/nut system,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.3 Reactor Vessel Fasteners,ACTIVE,DCD confirms washers but quantity/material details require drawing
RV-022,RV-006,Metal closure-head O-ring,metal_o_ring,2,Metallic seal,Provides redundant closure-head flange sealing,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.4,ACTIVE,Exact alloy/cross-section/groove geometry unresolved
RV-023,RV-006,CRDM housing penetration,head_penetration,69,"4 in outside-diameter penetration/housing interface",Provides closure-head penetration for control-rod-drive mechanism housing,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.4,ACTIVE,CRDM/housing assemblies decomposed in reactor/IHP work package
RV-024,RV-006,Quickloc incore-instrument nozzle,quickloc_instrument_nozzle,8,"Head penetration approximately 4.75 in diameter to cladding",Provides removable pressure-boundary interface for incore-instrument thimble assemblies,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.4,ACTIVE,Up to six instrument thimble assemblies pass through each Quickloc
RV-025,RV-024,Quickloc pressure-boundary material set,material_definition,1,"SA-182 F304; SA-479 Types 304/316; UNS S21800 as applicable",Defines documented Quickloc pressure-boundary materials,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.4,ACTIVE,Map exact material to individual Quickloc parts when part drawing/nomenclature is found
RV-026,RV-024,Quickloc plug-to-thimble pressure boundary,removable_pressure_boundary,8,UNRESOLVED,Pressure boundary normally disassembled only when instrument thimble is replaced,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.4,ACTIVE,Seal/fastener/internal part BOM unresolved
RV-027,RV-024,Quickloc plug-to-nozzle pressure boundary,removable_pressure_boundary,8,UNRESOLVED,Pressure boundary disassembled when reactor-vessel closure head is removed,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.4,ACTIVE,Seal/fastener/internal part BOM unresolved
RV-028,RV-001,Vessel shell OD/ID geometry,geometry_definition,1,"Shell OD 176 in; shell ID 159 in",Defines major cylindrical vessel envelope,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3 design parameter table,ACTIVE,Beltline minimum thickness listed separately as 8 in
RV-029,RV-001,Vessel beltline region,pressure_boundary_region,1,"Minimum thickness 8 in",Core-region shell pressure boundary,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3 design parameter table,ACTIVE,Exact course axial limits and weld locations to resolve from Figure 5.3-1/5.3-5/5.3-6
RV-030,RV-006,Closure-head lifting-lug attachment,lifting_interface,UNRESOLVED,UNRESOLVED,Provides closure-head lifting interface and receives specified weld examinations,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.1 weld-examination requirements,ACTIVE,Lug count/geometry/material/weld detail unresolved in current extraction
